dv,comp,measure,F,p,np2,n_subjects,method,channel,sig
P2_mean_amp,P2,mean_amp,0.694895666447139,0.6281754538454931,0.019148421878221994,28,rmANOVA,O2,ns
P2_peak_amp,P2,peak_amp,0.7962564593114044,0.5541753820435806,0.02111885399257966,28,rmANOVA,O2,ns
N400_mean_amp,N400,mean_amp,0.8898915772671263,0.489844015255959,0.023225496105292603,28,rmANOVA,O2,ns
N400_peak_amp,N400,peak_amp,0.9522352014259832,0.4496140939597506,0.02708725590026104,28,rmANOVA,O2,ns
P1_mean_amp,P1,mean_amp,0.4095938436077669,0.841476587289413,0.01233589841388394,28,rmANOVA,F7,ns
P1_peak_amp,P1,peak_amp,0.39132902579058565,0.8540943170619257,0.011781177775833616,28,rmANOVA,F7,ns
N1_mean_amp,N1,mean_amp,2.3880546281934083,0.04122545835101425,0.06346006879562757,28,rmANOVA,F7,*
N1_peak_amp,N1,peak_amp,1.7855351690539165,0.11989453738497989,0.04788658026139143,28,rmANOVA,F7,ns
P2_mean_amp,P2,mean_amp,0.9553380513885377,0.4476700064106165,0.025661033247482957,28,rmANOVA,F7,ns
P2_peak_amp,P2,peak_amp,1.072424899624987,0.37850295252809935,0.0281382730335208,28,rmANOVA,F7,ns
N400_mean_amp,N400,mean_amp,0.8106405393252488,0.5440122087204162,0.02031725316606023,28,rmANOVA,F7,ns
N400_peak_amp,N400,peak_amp,1.9817927594832339,0.08522875206567508,0.05134372778627851,28,rmANOVA,F7,ns
P1_mean_amp,P1,mean_amp,0.8458435839351613,0.5195554038569934,0.025108703052175302,28,rmANOVA,F8,ns
P1_peak_amp,P1,peak_amp,0.9943187423201681,0.4237296996990295,0.02879646417655332,28,rmANOVA,F8,ns
N1_mean_amp,N1,mean_amp,1.0012354275535338,0.41957611697706726,0.028832086538982667,28,rmANOVA,F8,ns
N1_peak_amp,N1,peak_amp,0.942861701624324,0.45552108126826807,0.02799153267779332,28,rmANOVA,F8,ns
P2_mean_amp,P2,mean_amp,1.091781341966371,0.3678669563396677,0.031961067113828664,28,rmANOVA,F8,ns
P2_peak_amp,P2,peak_amp,1.2837121273119887,0.27454878436397023,0.036830172641957266,28,rmANOVA,F8,ns
N400_mean_amp,N400,mean_amp,0.6956609185337307,0.627603626809921,0.020562190541431494,28,rmANOVA,F8,ns
N400_peak_amp,N400,peak_amp,0.5074216470288689,0.7702585167643716,0.01546082808855396,28,rmANOVA,F8,ns
P1_mean_amp,P1,mean_amp,1.3414428333797,0.2506311285633094,0.03567385898965385,28,rmANOVA,T7,ns
P1_peak_amp,P1,peak_amp,1.0549447165738597,0.3883037184838649,0.027745162319902338,28,rmANOVA,T7,ns
N1_mean_amp,N1,mean_amp,0.6676547632840053,0.6486286719748083,0.01913919245526251,28,rmANOVA,T7,ns
N1_peak_amp,N1,peak_amp,0.7587163109410408,0.5811279767927975,0.02195158541796647,28,rmANOVA,T7,ns
P2_mean_amp,P2,mean_amp,0.9680582741545869,0.4397590951498316,0.026704204500841683,28,rmANOVA,T7,ns
P2_peak_amp,P2,peak_amp,0.6950574729371515,0.6280545320561488,0.01930616843748217,28,rmANOVA,T7,ns
N400_mean_amp,N400,mean_amp,0.782671745499064,0.5638593672951265,0.01962141076398754,28,rmANOVA,T7,ns
N400_peak_amp,N400,peak_amp,1.5162868217171956,0.188781514284221,0.037785349164744304,28,rmANOVA,T7,ns
P1_mean_amp,P1,mean_amp,1.729931097856038,0.13187438890682687,0.04921914425679593,28,rmANOVA,T8,ns
P1_peak_amp,P1,peak_amp,1.5239591638703858,0.18640591222637815,0.043916923812275105,28,rmANOVA,T8,ns
N1_mean_amp,N1,mean_amp,1.9164544156906427,0.09556248248301683,0.052996212066985696,28,rmANOVA,T8,ns
N1_peak_amp,N1,peak_amp,1.784309292568119,0.12014743516614435,0.04766086056446843,28,rmANOVA,T8,ns
P2_mean_amp,P2,mean_amp,1.9696571224096522,0.0870647856468218,0.05383849088242601,28,rmANOVA,T8,ns
P2_peak_amp,P2,peak_amp,1.9431619582999078,0.09120364596603993,0.05172077076355301,28,rmANOVA,T8,ns
N400_mean_amp,N400,mean_amp,1.5195716789588583,0.18776114229890384,0.04107527076516257,28,rmANOVA,T8,ns
N400_peak_amp,N400,peak_amp,0.9162263813341281,0.47258215254398084,0.02530996749316456,28,rmANOVA,T8,ns
P1_mean_amp,P1,mean_amp,0.6772758190165924,0.641384375446871,0.020837638696995623,28,rmANOVA,P7,ns
P1_peak_amp,P1,peak_amp,0.48822361726441205,0.7845992846922263,0.014820987275485186,28,rmANOVA,P7,ns
N1_mean_amp,N1,mean_amp,0.4424481308220526,0.8181514349718665,0.01430446047209489,28,rmANOVA,P7,ns
N1_peak_amp,N1,peak_amp,0.444120020271073,0.8169454878860078,0.014704384048595495,28,rmANOVA,P7,ns
P2_mean_amp,P2,mean_amp,0.5814305506289417,0.7141580270868462,0.019254175173948476,28,rmANOVA,P7,ns
P2_peak_amp,P2,peak_amp,0.42734310121619945,0.8289673127374816,0.01360704043389604,28,rmANOVA,P7,ns
N400_mean_amp,N400,mean_amp,1.0215143450457023,0.4075638724787277,0.03266428070293138,28,rmANOVA,P7,ns
N400_peak_amp,N400,peak_amp,1.0494450435989435,0.3914256638139302,0.03311000736396011,28,rmANOVA,P7,ns
P1_mean_amp,P1,mean_amp,0.6567113106729222,0.6568925968111029,0.015857756098958398,28,rmANOVA,P8,ns
P1_peak_amp,P1,peak_amp,1.0770765179353072,0.3759261828209412,0.024881135118701235,28,rmANOVA,P8,ns
N1_mean_amp,N1,mean_amp,0.5478893083418872,0.7396911990987503,0.012750710775515765,28,rmANOVA,P8,ns
N1_peak_amp,N1,peak_amp,0.37815675092479306,0.8630151952361259,0.009513896330059191,28,rmANOVA,P8,ns
P2_mean_amp,P2,mean_amp,0.4005772909287971,0.8477397179198216,0.009799028150287789,28,rmANOVA,P8,ns
P2_peak_amp,P2,peak_amp,0.7042679913351814,0.621183488602103,0.01660153273890453,28,rmANOVA,P8,ns
N400_mean_amp,N400,mean_amp,0.4463492515189352,0.8153349346283267,0.010719241519419154,28,rmANOVA,P8,ns
N400_peak_amp,N400,peak_amp,0.42697431699791244,0.8292295065054945,0.010732520159920192,28,rmANOVA,P8,ns
