fold,experiment,C,balanced_accuracy,macro_f1,negative_log_likelihood,code_C,face_C,alpha_face
1,fusion_raw,,0.35046373200442965,0.34408007105281135,1.929767756904563,0.01,0.1,0.75
1,fusion_raw,,0.35046373200442965,0.34402269764588606,2.2296155423227795,0.01,0.1,0.9
1,fusion_raw,,0.34271179401993357,0.3345238095238095,2.436438856248999,0.01,0.1,1.0
1,fusion_raw,,0.6103197674418605,0.6079887657980966,0.9565769285285842,0.01,1.0,0.0
1,fusion_raw,,0.46852851605758583,0.4726726726726727,1.0295537775182202,0.01,1.0,0.1
1,fusion_raw,,0.3814714839424142,0.38025525525525533,1.3015100692484014,0.01,1.0,0.25
1,fusion_raw,,0.3582156699889258,0.35336565507788925,1.994517850716955,0.01,1.0,0.5
1,fusion_raw,,0.35046373200442965,0.34402269764588606,2.8089882421346632,0.01,1.0,0.75
1,fusion_raw,,0.35046373200442965,0.34402269764588606,3.322133659436827,0.01,1.0,0.9
1,fusion_raw,,0.35046373200442965,0.34402269764588606,3.6699626839375608,0.01,1.0,1.0
1,fusion_raw,,0.6103197674418605,0.6079887657980966,0.9565769285285842,0.01,10.0,0.0
1,fusion_raw,,0.4297688261351052,0.4354066985645933,1.0856729468411732,0.01,10.0,0.1
1,fusion_raw,,0.3659676079734219,0.3625391560714944,1.5604364589188486,0.01,10.0,0.25
1,fusion_raw,,0.3477990033222591,0.34356173350926184,2.6574665363799155,0.01,10.0,0.5
1,fusion_raw,,0.34004706533776297,0.33436086189709374,3.8708760105136655,0.01,10.0,0.75
1,fusion_raw,,0.34004706533776297,0.33436086189709374,4.618509812736577,0.01,10.0,0.9
1,fusion_raw,,0.34004706533776297,0.33436086189709374,5.12119607897452,0.01,10.0,1.0
1,fusion_raw,,0.6103197674418605,0.6079887657980966,0.7814126026539684,0.1,0.001,0.0
1,fusion_raw,,0.6198435769656699,0.618706271864068,0.7937132646386287,0.1,0.001,0.1
1,fusion_raw,,0.6406769102990033,0.637237012430013,0.8202546674351003,0.1,0.001,0.25
1,fusion_raw,,0.581734496124031,0.5809425042994305,0.8887490673018532,0.1,0.001,0.5
1,fusion_raw,,0.49799280177187155,0.5001507531628013,0.9907682396856964,0.1,0.001,0.75
1,fusion_raw,,0.42113787375415285,0.4216112457850468,1.0687254948557028,0.1,0.001,0.9
1,fusion_raw,,0.37196151716500553,0.37023809523809526,1.1275862249735153,0.1,0.001,1.0
1,fusion_raw,,0.6103197674418605,0.6079887657980966,0.7814126026539684,0.1,0.01,0.0
1,fusion_raw,,0.6225083056478405,0.6213735708174536,0.7990280313010477,0.1,0.01,0.1
1,fusion_raw,,0.5487126245847177,0.5478197409231892,0.8484882351026982,0.1,0.01,0.25
1,fusion_raw,,0.4813676633444075,0.48380082626657966,0.9938687028976355,0.1,0.01,0.5
1,fusion_raw,,0.41070736434108523,0.4154605263157895,1.2111168797974166,0.1,0.01,0.75
1,fusion_raw,,0.3841362126245847,0.38085052202699266,1.3698114756716677,0.1,0.01,0.9
1,fusion_raw,,0.3453765227021041,0.33476470638175043,1.4852494177821216,0.1,0.01,1.0
1,fusion_raw,,0.6103197674418605,0.6079887657980966,0.7814126026539684,0.1,0.1,0.0
1,fusion_raw,,0.5731035437430786,0.5694204006092837,0.8211610954823574,0.1,0.1,0.1
1,fusion_raw,,0.5227920819490587,0.5223870724035226,0.9550676238606963,0.1,0.1,0.25
1,fusion_raw,,0.4211240310077519,0.42689300411522635,1.3403688023728602,0.1,0.1,0.5
1,fusion_raw,,0.3582156699889258,0.35336565507788925,1.8540100110315665,0.1,0.1,0.75
1,fusion_raw,,0.35046373200442965,0.34408007105281135,2.1976337283069727,0.1,0.1,0.9
1,fusion_raw,,0.34271179401993357,0.3345238095238095,2.436438856248999,0.1,0.1,1.0
1,fusion_raw,,0.6103197674418605,0.6079887657980966,0.7814126026539684,0.1,1.0,0.0
1,fusion_raw,,0.5513773532668882,0.5494963679547857,0.8575689448751092,0.1,1.0,0.1
1,fusion_raw,,0.46852851605758583,0.4726726726726727,1.1322997362856606,0.1,1.0,0.25
1,fusion_raw,,0.4073920265780731,0.40807692307692306,1.8569866510727295,0.1,1.0,0.5
1,fusion_raw,,0.3582156699889258,0.35336565507788925,2.73280104843075,0.1,1.0,0.75
1,fusion_raw,,0.35046373200442965,0.34402269764588606,3.290509604947328,0.1,1.0,0.9
1,fusion_raw,,0.35046373200442965,0.34402269764588606,3.6699626839375608,0.1,1.0,1.0
1,fusion_raw,,0.6103197674418605,0.6079887657980966,0.7814126026539684,0.1,10.0,0.0
1,fusion_raw,,0.5400678294573643,0.5403393660845347,0.9105888069718415,0.1,10.0,0.1
1,fusion_raw,,0.45479651162790696,0.4602029914529915,1.3825872284101777,0.1,10.0,0.25
1,fusion_raw,,0.3659676079734219,0.3625391560714944,2.51554442429789,0.1,10.0,0.5
1,fusion_raw,,0.3477990033222591,0.34356173350926184,3.7942227379091475,0.1,10.0,0.75
1,fusion_raw,,0.34004706533776297,0.33436086189709374,4.587032643542885,0.1,10.0,0.9
1,fusion_raw,,0.34004706533776297,0.33436086189709374,5.12119607897452,0.1,10.0,1.0
1,fusion_raw,,0.6103197674418605,0.6079887657980966,0.7583386216261746,1.0,0.001,0.0
1,fusion_raw,,0.6198435769656699,0.618706271864068,0.757962038487392,1.0,0.001,0.1
1,fusion_raw,,0.6502007198228129,0.648109429448172,0.7669617800511769,1.0,0.001,0.25
1,fusion_raw,,0.5921511627906977,0.5903909132363306,0.8167720534078647,1.0,0.001,0.5
1,fusion_raw,,0.5558001107419712,0.5591563839482173,0.9295682334109925,1.0,0.001,0.75
