inner_fold,epoch,train_loss,train_accuracy,validation_n,validation_accuracy,validation_balanced_accuracy,validation_macro_f1,validation_per_class_recall,validation_per_class_precision,validation_per_class_f1,validation_support,validation_loss,validation_mae,validation_quadratic_weighted_kappa
1,13,0.5967773071924846,0.72,40,0.5,0.45014245014245013,0.4505494505494505,"[0.5925925925925926, 0.3076923076923077]","[0.64, 0.26666666666666666]","[0.6153846153846153, 0.28571428571428575]","[27, 13]",0.7669160962104797,0.5,-0.09589041095890405
1,14,0.5203110329310099,0.76,40,0.5,0.41025641025641024,0.40476190476190477,"[0.6666666666666666, 0.15384615384615385]","[0.6206896551724138, 0.18181818181818182]","[0.6428571428571429, 0.16666666666666669]","[27, 13]",0.7676576495170593,0.5,-0.18694362017804145
1,15,0.6293569469451904,0.6933333333333334,40,0.675,0.51994301994302,0.4666666666666667,"[0.9629629629629629, 0.07692307692307693]","[0.6842105263157895, 0.5]","[0.7999999999999999, 0.13333333333333336]","[27, 13]",0.8484355926513671,0.325,0.05109489051094884
1,16,0.49922084967295327,0.8,40,0.6,0.5042735042735043,0.4984326018808778,"[0.7777777777777778, 0.23076923076923078]","[0.6774193548387096, 0.3333333333333333]","[0.7241379310344828, 0.27272727272727276]","[27, 13]",0.8424570202827454,0.4,0.009287925696594312
1,17,0.5130321409304937,0.7733333333333333,40,0.575,0.5056980056980057,0.5054545454545455,"[0.7037037037037037, 0.3076923076923077]","[0.6785714285714286, 0.3333333333333333]","[0.6909090909090909, 0.32]","[27, 13]",0.9050060510635376,0.425,0.011627906976744096
1,18,0.5300876700878143,0.6533333333333333,40,0.5,0.45014245014245013,0.4505494505494505,"[0.5925925925925926, 0.3076923076923077]","[0.64, 0.26666666666666666]","[0.6153846153846153, 0.28571428571428575]","[27, 13]",0.9542796015739441,0.5,-0.09589041095890405
1,19,0.5353065760930379,0.76,40,0.575,0.48575498575498577,0.4813119755911518,"[0.7407407407407407, 0.23076923076923078]","[0.6666666666666666, 0.3]","[0.7017543859649122, 0.2608695652173913]","[27, 13]",0.9239797353744507,0.425,-0.030303030303030276
1,20,0.5377566583951314,0.8,40,0.625,0.48290598290598286,0.4397759103641457,"[0.8888888888888888, 0.07692307692307693]","[0.6666666666666666, 0.25]","[0.761904761904762, 0.11764705882352941]","[27, 13]",0.9930629730224609,0.375,-0.04166666666666674
1,21,0.5622426033020019,0.76,40,0.55,0.48717948717948717,0.48717948717948717,"[0.6666666666666666, 0.3076923076923077]","[0.6666666666666666, 0.3076923076923077]","[0.6666666666666666, 0.3076923076923077]","[27, 13]",0.9882002234458923,0.45,-0.02564102564102555
1,22,0.476320010026296,0.7866666666666666,40,0.575,0.4458689458689459,0.41328731665228646,"[0.8148148148148148, 0.07692307692307693]","[0.6470588235294118, 0.16666666666666666]","[0.7213114754098361, 0.10526315789473684]","[27, 13]",1.0316870212554932,0.425,-0.1258278145695364
