k,model,accuracy,balanced_accuracy,f1_macro,f1_weighted,fold_acc_mean,fold_acc_std
40,RandomForest,0.45263157894736844,0.36071508118557677,0.33834930970036775,0.40256751482613207,0.45774225006163555,0.1636897849817729
40,GradBoost,0.41754385964912283,0.3534506269302135,0.34799913984205094,0.39609176407722513,0.4247531582113961,0.1504532020048632
40,LDA,0.4245614035087719,0.3460460166910601,0.33237870392643337,0.39072108919120935,0.4308173786246686,0.1432882754311919
40,KNN,0.4,0.3469739921378742,0.34499906150185367,0.39170569115844106,0.4032740119263492,0.14175382337341644
40,MLP,0.44912280701754387,0.35318058116526757,0.3223424299906474,0.3885879411749694,0.4440672161704362,0.1792080954816072
80,LogReg,0.36666666666666664,0.34985767918652394,0.3480819847973844,0.37714142026063646,0.37764801446601054,0.13573378742105427
80,LR_L1,0.3543859649122807,0.33927389380550727,0.3374462464716373,0.36568379688517877,0.35174385820552867,0.10664890278133879
80,SVM_RBF,0.39649122807017545,0.3702813966142064,0.3695247319501793,0.40618190989018654,0.3996390565653397,0.1478051151188915
80,SVM_Linear,0.34912280701754383,0.32932393484799993,0.32854711385436786,0.3585423355329408,0.3552167388596778,0.12383720833111701
80,RandomForest,0.43508771929824563,0.33900652618037896,0.3108969197910078,0.37805258160049193,0.44108845183910567,0.1565484496162924
80,GradBoost,0.4017543859649123,0.33410932434549606,0.3250630051273138,0.3778314953979195,0.39763733985252453,0.13690168636247863
80,LDA,0.4052631578947368,0.3374596772573706,0.3297096408390853,0.3837509227870399,0.4092738405577569,0.15270569051198327
80,KNN,0.4052631578947368,0.35208008887853337,0.3495030515032855,0.3957092833460029,0.4173249943154324,0.13726733031758945
80,MLP,0.43859649122807015,0.3426385301297425,0.31575855272885595,0.3808368080937857,0.45818115157033107,0.1795983061035534
140,LogReg,0.3350877192982456,0.32678505830087207,0.32272486529311606,0.3450501702366957,0.32853419382186955,0.10428799085499671
140,LR_L1,0.30526315789473685,0.29326970073126607,0.2916757006189051,0.31815697952446864,0.3017198235276038,0.08180783120057204
140,SVM_RBF,0.3631578947368421,0.33249842324518236,0.33383654313912864,0.3732720099637149,0.3704752654450268,0.1521650849463511
140,SVM_Linear,0.3649122807017544,0.3444810903242826,0.34327856882073754,0.37357806344997213,0.35613064985817516,0.09988369502057597
140,RandomForest,0.45087719298245615,0.34786335773565064,0.31412676498373054,0.38425654770758444,0.4545091563782312,0.16425091376832843
140,GradBoost,0.4052631578947368,0.3344744440739684,0.32495556879518794,0.37977677482849137,0.40574202184736674,0.12660030800971298
140,LDA,0.38596491228070173,0.32678126426946374,0.3227867470854429,0.3741204347362268,0.3867077053199969,0.1436044323959466
140,KNN,0.38596491228070173,0.33028159301112636,0.3234062111697498,0.374386411994384,0.38658647501324855,0.130352438416971
140,MLP,0.41754385964912283,0.3459754923425287,0.3375766264752705,0.3924268537903151,0.41602430570107923,0.12907007491048672
144,LogReg,0.34035087719298246,0.32533328334139006,0.32360556148980407,0.3507784507886535,0.33327156563303995,0.12088360970374762
144,LR_L1,0.2982456140350877,0.2818215457241043,0.28212760183430713,0.31126515183581965,0.29130344325138374,0.10780525235767686
144,SVM_RBF,0.3736842105263158,0.3427829265015772,0.34386806631490385,0.3833248562202002,0.3830441877507912,0.14994350710514626
144,SVM_Linear,0.3719298245614035,0.3514152406688029,0.35029279894098525,0.38080191937037144,0.36709839560812096,0.09900745058271947
144,RandomForest,0.45263157894736844,0.3478568855644246,0.309936180739703,0.38242970503926965,0.46171970461403283,0.1767645449933348
144,GradBoost,0.39649122807017545,0.32841582227149996,0.3201717570669673,0.3738498578796542,0.3950814571266516,0.11226326711815499
144,LDA,0.3894736842105263,0.3328110960688925,0.3301188342744647,0.3804629310503358,0.3863557384462909,0.1429013052141459
144,KNN,0.3929824561403509,0.3351477730597881,0.3276265809895482,0.3798946689422119,0.39442919357107,0.12616221066923175
144,MLP,0.45087719298245615,0.3597560839525416,0.33339007531033865,0.4001761738838687,0.4547804112061223,0.15790648507239619
