fold,experiment,k_features,C,balanced_accuracy,macro_f1,negative_log_likelihood
2,video_raw,64,1.0,0.22584546013527365,0.21460267879277253,3.907711813767772
2,video_trial_delta,16,0.01,0.274304843888775,0.2629640683551241,1.1528035783644328
2,video_trial_delta,16,0.1,0.23564938170390107,0.22481582130346678,1.3328927489137266
2,video_trial_delta,16,1.0,0.2658946505431441,0.25855263157894737,1.6035198522117564
2,video_trial_delta,32,0.01,0.2815945890551343,0.2800945742122212,1.1891929162215642
2,video_trial_delta,32,0.1,0.3101660176265628,0.30930091680538374,1.5058903375599333
2,video_trial_delta,32,1.0,0.29083828653412586,0.2904767728653254,2.2940973990219287
2,video_trial_delta,64,0.01,0.2762519642003143,0.27243531202435317,1.2336051465303697
2,video_trial_delta,64,0.1,0.28549566167930585,0.28309223115193266,1.7265104694504803
2,video_trial_delta,64,1.0,0.28020086083213774,0.27987967141038994,3.051069110542821
2,video_water_delta,16,0.01,0.30147571223611397,0.29949636014249653,1.2057295438207782
2,video_water_delta,16,0.1,0.29390585502493677,0.29142300194931775,1.5412665933909353
2,video_water_delta,16,1.0,0.2661679305868689,0.2634826607429347,1.9517508649706716
2,video_water_delta,32,0.01,0.28749060599849696,0.2871967713221505,1.2665337984189158
2,video_water_delta,32,0.1,0.2785270205643233,0.27733963572841475,1.6812627885190357
2,video_water_delta,32,1.0,0.2723508915761426,0.26738816738816734,2.4951360905943303
2,video_water_delta,64,0.01,0.2742980118876819,0.2725931584755114,1.325223824416784
2,video_water_delta,64,0.1,0.25891917742706844,0.2585140219873527,1.8364921665236043
2,video_water_delta,64,1.0,0.2807542529206805,0.2801538163383959,3.3208393144456427
3,video_raw,16,0.01,0.2782392026578073,0.27356068940227357,1.1857275741940254
3,video_raw,16,0.1,0.3190130121816168,0.31599005193475244,1.4812195534990287
3,video_raw,16,1.0,0.29907253599114064,0.2912374981340498,1.8864627113837709
3,video_raw,32,0.01,0.27227297895902547,0.25753049539457307,1.2156980067306484
3,video_raw,32,0.1,0.2913205980066445,0.28298289012574723,1.5386985563088909
3,video_raw,32,1.0,0.3451758028792913,0.33308766589228017,2.2265458021268203
3,video_raw,64,0.01,0.2654138981173865,0.25185858418941126,1.2351761397594958
3,video_raw,64,0.1,0.30440199335548174,0.29646753610239457,1.6371076199933825
3,video_raw,64,1.0,0.3305509413067553,0.3236210770457346,2.8368041892360565
3,video_trial_delta,16,0.01,0.2817829457364341,0.28100838176026144,1.1960260855222618
3,video_trial_delta,16,0.1,0.3017234219269103,0.30180175286107486,1.5135092707826836
3,video_trial_delta,16,1.0,0.3017372646733112,0.29404054993847967,1.9412545726747148
3,video_trial_delta,32,0.01,0.3014950166112957,0.2911655572336895,1.2334636436767656
3,video_trial_delta,32,0.1,0.31659053156146183,0.30926472247747094,1.615505967184568
3,video_trial_delta,32,1.0,0.3234496124031008,0.31861324239840866,2.519928935912121
3,video_trial_delta,64,0.01,0.25917774086378736,0.2543895599654875,1.2646336862182646
3,video_trial_delta,64,0.1,0.267171926910299,0.26408690817150826,1.717681174762627
3,video_trial_delta,64,1.0,0.26806478405315615,0.2615049998673775,3.0289389423297006
3,video_water_delta,16,0.01,0.3267511074197121,0.3257954867340194,1.1728137812864203
3,video_water_delta,16,0.1,0.344905869324474,0.344905869324474,1.51419236591996
3,video_water_delta,16,1.0,0.3630744739756368,0.3629487339663502,2.0628101271506964
3,video_water_delta,32,0.01,0.38481450719822813,0.3784418326803923,1.194916649386995
3,video_water_delta,32,0.1,0.3371677740863787,0.33600544820308076,1.5796511737275372
3,video_water_delta,32,1.0,0.38634413067552603,0.38205110569097084,2.3551389141720613
3,video_water_delta,64,0.01,0.38367940199335554,0.37795333187038255,1.2030344323797446
3,video_water_delta,64,0.1,0.3420265780730897,0.32855581173866194,1.6842086674853096
3,video_water_delta,64,1.0,0.3610741971207087,0.3507141308052173,3.1097658173474594
4,video_raw,16,0.01,0.38952915681639083,0.38656240843270545,1.087450033738714
4,video_raw,16,0.1,0.3987884160756501,0.3970894832037776,1.2376195719010186
4,video_raw,16,1.0,0.39169621749408984,0.39041146761734996,1.471342053405778
4,video_raw,32,0.01,0.3997980693459417,0.3983611517858093,1.1346403852918658
4,video_raw,32,0.1,0.3478624901497242,0.34784282919766496,1.4562156366195846
4,video_raw,32,1.0,0.3407702915681639,0.340497202832505,2.179498246974544
4,video_raw,64,0.01,0.40834318360914107,0.40851269066136126,1.18195742880293
4,video_raw,64,0.1,0.3526398739164696,0.35232439335887616,1.5700081168823048
4,video_raw,64,1.0,0.3689913317572892,0.36808341570246333,2.547691503943961
4,video_trial_delta,16,0.01,0.3976310086682427,0.3975073034811214,1.0773338213103376
4,video_trial_delta,16,0.1,0.4210746650906225,0.42244309443848543,1.2145912740047422
4,video_trial_delta,16,1.0,0.42223207249802996,0.4242896472910498,1.4699688391262324
4,video_trial_delta,32,0.01,0.39213947990543735,0.3917486022749181,1.131959061625229
4,video_trial_delta,32,0.1,0.3663810086682427,0.367672068827531,1.4247878718115081
4,video_trial_delta,32,1.0,0.28607663514578413,0.2861506572846779,2.127842740693523
4,video_trial_delta,64,0.01,0.3548069345941687,0.3541744641564988,1.1831725157402766
4,video_trial_delta,64,0.1,0.3280388100866824,0.3278201606202398,1.6037608870191653
4,video_trial_delta,64,1.0,0.30503841607565013,0.30337528684990506,2.868450558647659
4,video_water_delta,16,0.01,0.383594365642238,0.37683470673033465,1.129163125365949
4,video_water_delta,16,0.1,0.39834515366430256,0.38974358974358975,1.2945189311733674
4,video_water_delta,16,1.0,0.41151989755713164,0.4013377926421405,1.5503613952687545
4,video_water_delta,32,0.01,0.4079245468873129,0.40704456678274353,1.1076659211890356
4,video_water_delta,32,0.1,0.42109929078014185,0.4137892688351404,1.239405118882805
4,video_water_delta,32,1.0,0.40634850275807716,0.3918134303529841,1.7310097736230856
