fold,window,window_start_seconds,window_end_seconds,k_features,selection_strategy,C,balanced_accuracy,macro_f1,negative_log_likelihood
1,8:10,8.0,10.0,32,kbest,0.01,0.3231935215946844,0.3235446792732666,1.2610479325766843
1,8:10,8.0,10.0,32,kbest,0.1,0.35863787375415285,0.35618156270021545,1.6857790200963567
1,8:10,8.0,10.0,32,kbest,1.0,0.3630744739756368,0.3629487339663502,2.3212035424330186
1,8:10,8.0,10.0,64,kbest,0.01,0.25319767441860463,0.25104158245075053,1.3666680533515299
1,8:10,8.0,10.0,64,kbest,0.1,0.31721345514950167,0.3171023965141612,2.1888948571822695
1,8:10,8.0,10.0,64,kbest,1.0,0.30946151716500553,0.30959277972103466,9.052982730097558
1,0:10,0.0,10.0,0,all_after_variance,0.01,0.3085825027685493,0.30895647977207363,1.4632678447818366
1,0:10,0.0,10.0,0,all_after_variance,0.1,0.3240863787375415,0.32221691352126136,2.6080696512788117
1,0:10,0.0,10.0,0,all_after_variance,1.0,0.3240863787375415,0.32221691352126136,4.250499385248286
1,0:10,0.0,10.0,8,kbest,0.01,0.3511281838316722,0.35095979347187073,1.125152995140642
1,0:10,0.0,10.0,8,kbest,0.1,0.3630744739756368,0.36252786108138085,1.215453003122234
1,0:10,0.0,10.0,8,kbest,1.0,0.3369116832779624,0.32834691587681225,1.3183691479933684
1,0:10,0.0,10.0,16,kbest,0.01,0.3451481173864895,0.34408007105281135,1.155163580446672
1,0:10,0.0,10.0,16,kbest,0.1,0.2627214839424142,0.261634224824603,1.3003239958890436
1,0:10,0.0,10.0,16,kbest,1.0,0.28774916943521595,0.28506698187549256,1.5323170481332258
1,0:10,0.0,10.0,32,kbest,0.01,0.36751107419712076,0.3677015658837248,1.1787152669146146
1,0:10,0.0,10.0,32,kbest,0.1,0.30260243632336653,0.3025792395811371,1.3622073082423924
1,0:10,0.0,10.0,32,kbest,1.0,0.3327173311184939,0.33030835807988224,1.7778261235271502
1,0:10,0.0,10.0,64,kbest,0.01,0.38722314507198224,0.38657647616485385,1.2008263978515539
1,0:10,0.0,10.0,64,kbest,0.1,0.33868355481727574,0.3342749529190207,1.4944213830532616
1,0:10,0.0,10.0,64,kbest,1.0,0.3214078073089701,0.3204524721766101,2.3426759802378223
2,0:2,0.0,2.0,0,all_after_variance,0.01,0.41860353897656627,0.41810607600081284,1.1901943322746191
2,0:2,0.0,2.0,0,all_after_variance,0.1,0.4455011272801803,0.4447162094220918,1.667633597063015
2,0:2,0.0,2.0,0,all_after_variance,1.0,0.4275671244107399,0.4261329511329512,2.4541079491162847
2,0:2,0.0,2.0,8,kbest,0.01,0.3289335246293639,0.32582547955455105,1.113181786746626
2,0:2,0.0,2.0,8,kbest,0.1,0.31295347407255586,0.309704641350211,1.1889253294419277
2,0:2,0.0,2.0,8,kbest,1.0,0.3098859055817449,0.30894259046157774,1.2689535246312857
2,0:2,0.0,2.0,16,kbest,0.01,0.3527225524356084,0.3405802752174343,1.1253360904154204
2,0:2,0.0,2.0,16,kbest,0.1,0.34291863086698093,0.33063002646121536,1.2227369564669068
2,0:2,0.0,2.0,16,kbest,1.0,0.34180501468880237,0.3351845424042578,1.3759360839578687
2,0:2,0.0,2.0,32,kbest,0.01,0.3255448520871764,0.3156565656565656,1.1439263604686496
2,0:2,0.0,2.0,32,kbest,0.1,0.3630866980938717,0.3528118939883646,1.318095032107984
2,0:2,0.0,2.0,32,kbest,1.0,0.3423652387784382,0.33706360593017687,1.7041261966252097
2,0:2,0.0,2.0,64,kbest,0.01,0.3700553392088543,0.33300994421537716,1.1619272490361992
2,0:2,0.0,2.0,64,kbest,0.1,0.40680467308874774,0.3992383760211289,1.3585873268254967
2,0:2,0.0,2.0,64,kbest,1.0,0.4073648971783836,0.39998371028746255,1.9869907335218393
2,2:4,2.0,4.0,0,all_after_variance,0.01,0.3497028079524493,0.34740034843936946,1.3243675691695125
2,2:4,2.0,4.0,0,all_after_variance,0.1,0.3437999590079934,0.34355775642047487,2.1093050761171437
2,2:4,2.0,4.0,0,all_after_variance,1.0,0.333996037439366,0.333255524431995,3.276244062121685
2,2:4,2.0,4.0,8,kbest,0.01,0.3211723713875794,0.307200556357995,1.1122388414984217
2,2:4,2.0,4.0,8,kbest,0.1,0.3096536175445788,0.30643464268031023,1.2141239565959137
2,2:4,2.0,4.0,8,kbest,1.0,0.3110473457675753,0.3089657776404764,1.3084100557658216
2,2:4,2.0,4.0,16,kbest,0.01,0.33515747762519643,0.33100059144835264,1.1294795903206356
2,2:4,2.0,4.0,16,kbest,0.1,0.316943362710938,0.31389761854878134,1.2811506177452952
2,2:4,2.0,4.0,16,kbest,1.0,0.3287012365921979,0.32983646916432857,1.4487065926157983
2,2:4,2.0,4.0,32,kbest,0.01,0.3620550659288106,0.3566137566137566,1.1338613009971092
2,2:4,2.0,4.0,32,kbest,0.1,0.31554963448794154,0.3093529737863309,1.2921108426731571
2,2:4,2.0,4.0,32,kbest,1.0,0.34161371865819495,0.3346817433773956,1.7367469016288677
2,2:4,2.0,4.0,64,kbest,0.01,0.31244107399057186,0.3103543743078627,1.159119006424191
2,2:4,2.0,4.0,64,kbest,0.1,0.3328824212611874,0.3327784485489934,1.4669382025291844
2,2:4,2.0,4.0,64,kbest,1.0,0.37604017216642754,0.3735841550991353,2.464876194252859
2,4:6,4.0,6.0,0,all_after_variance,0.01,0.37827423652387787,0.3786101222720941,1.367113426666675
2,4:6,4.0,6.0,0,all_after_variance,0.1,0.3365512058481929,0.33251231967660294,1.9747763135742677
2,4:6,4.0,6.0,0,all_after_variance,1.0,0.3284211245473799,0.32542012109504265,2.849012264158988
2,4:6,4.0,6.0,8,kbest,0.01,0.2465669194507071,0.24226636108989053,1.174912955303882
2,4:6,4.0,6.0,8,kbest,0.1,0.24796064767370365,0.24441400304414004,1.502721247874514
2,4:6,4.0,6.0,8,kbest,1.0,0.24628680740588918,0.24465753424657535,1.8884284883049536
2,4:6,4.0,6.0,16,kbest,0.01,0.2843820455011273,0.2820564925828084,1.1710699671796354
2,4:6,4.0,6.0,16,kbest,0.1,0.2919519027123045,0.29044834307992207,1.486128672097135
2,4:6,4.0,6.0,16,kbest,1.0,0.2729042836646854,0.27266797129810827,1.9970279720941542
2,4:6,4.0,6.0,32,kbest,0.01,0.2911183985789438,0.28989849578084875,1.190827135118737
2,4:6,4.0,6.0,32,kbest,0.1,0.28103436496549833,0.2809523809523809,1.535891622031962
2,4:6,4.0,6.0,32,kbest,1.0,0.32279838764774205,0.32152274225444955,2.3794656021305447
2,4:6,4.0,6.0,64,kbest,0.01,0.2622668579626973,0.26102636229218507,1.2647075186662697
2,4:6,4.0,6.0,64,kbest,0.1,0.27151055544168884,0.2729379007068881,1.8305027071760371
2,4:6,4.0,6.0,64,kbest,1.0,0.3485823597731776,0.34849010760152727,3.360515877696224
2,6:8,6.0,8.0,0,all_after_variance,0.01,0.40378492860558857,0.3985264241406399,1.3944332012238254
