fold,window,rank_by_training_f_score,summary_feature_index,node,source_feature,statistic,training_f_score
2,0:2,467,632,outer_mouth_open,acceleration,quantile_10,0.44559088349342346
2,0:2,468,389,nose_upperlip_R,abs_velocity,slope_per_second,0.4441899359226227
2,0:2,469,480,corner_horizontal_L,velocity,mean,0.44334471225738525
2,0:2,470,436,corner_horizontal_R,value,late_minus_early,0.43753960728645325
2,0:2,471,442,corner_horizontal_R,delta,late_minus_early,0.4375394284725189
2,0:2,472,158,eye_open_R,velocity,quantile_10,0.4320991039276123
2,0:2,473,184,eye_open_L,value,late_minus_early,0.4320468306541443
2,0:2,474,190,eye_open_L,delta,late_minus_early,0.4320468008518219
2,0:2,475,419,nose_upperlip_L,acceleration,slope_per_second,0.43078961968421936
2,0:2,476,628,outer_mouth_open,velocity,late_minus_early,0.42958277463912964
2,0:2,477,260,lid_cheek_gap_L,delta,quantile_10,0.42404845356941223
2,0:2,478,571,corner_vertical_L,baseline_robust_z,std,0.42328357696533203
2,0:2,479,554,corner_vertical_L,velocity,quantile_10,0.4190818965435028
2,0:2,480,352,alar_extent_L,abs_velocity,late_minus_early,0.41887617111206055
2,0:2,481,703,jaw_open,acceleration,std,0.4125341475009918
2,0:2,482,241,lid_cheek_gap_R,abs_velocity,std,0.41103819012641907
2,0:2,483,339,alar_extent_L,velocity,quantile_90,0.4073632061481476
2,0:2,484,646,outer_mouth_open,baseline_robust_z,late_minus_early,0.4070373773574829
2,0:2,485,481,corner_horizontal_L,velocity,std,0.40532782673835754
2,0:2,486,53,inner_brow_L,velocity,slope_per_second,0.40264615416526794
2,0:2,487,349,alar_extent_L,abs_velocity,std,0.3979204595088959
2,0:2,488,258,lid_cheek_gap_L,delta,mean,0.39752280712127686
2,0:2,489,248,lid_cheek_gap_R,baseline_robust_z,quantile_10,0.3965100944042206
2,0:2,490,276,lid_cheek_gap_L,abs_velocity,mean,0.3956018090248108
2,0:2,491,159,eye_open_R,velocity,quantile_90,0.38689205050468445
2,0:2,492,254,lid_cheek_gap_L,value,quantile_10,0.3840494155883789
2,0:2,493,278,lid_cheek_gap_L,abs_velocity,quantile_10,0.3825465142726898
2,0:2,494,229,lid_cheek_gap_R,velocity,std,0.3795613944530487
2,0:2,495,275,lid_cheek_gap_L,acceleration,slope_per_second,0.3780387341976166
2,0:2,496,264,lid_cheek_gap_L,velocity,mean,0.3766780495643616
2,0:2,497,448,corner_horizontal_R,velocity,late_minus_early,0.37551048398017883
2,0:2,498,693,jaw_open,delta,quantile_90,0.37218061089515686
2,0:2,499,228,lid_cheek_gap_R,velocity,mean,0.364558607339859
2,0:2,500,144,eye_open_R,value,mean,0.36382925510406494
2,0:2,501,59,inner_brow_L,acceleration,slope_per_second,0.36362820863723755
2,0:2,502,3,inner_brow_R,value,quantile_90,0.3634890019893646
2,0:2,503,281,lid_cheek_gap_L,abs_velocity,slope_per_second,0.3633672893047333
2,0:2,504,146,eye_open_R,value,quantile_10,0.3629871606826782
2,0:2,505,457,corner_horizontal_R,abs_velocity,std,0.3597697913646698
2,0:2,506,194,eye_open_L,velocity,quantile_10,0.35899117588996887
2,0:2,507,604,inner_lip_aperture,abs_velocity,late_minus_early,0.3548123240470886
2,0:2,508,487,corner_horizontal_L,acceleration,std,0.35461506247520447
2,0:2,509,486,corner_horizontal_L,acceleration,mean,0.35438159108161926
2,0:2,510,306,alar_extent_R,acceleration,mean,0.3537121117115021
2,0:2,511,594,inner_lip_aperture,acceleration,mean,0.35321176052093506
2,0:2,512,591,inner_lip_aperture,velocity,quantile_90,0.3526836037635803
2,0:2,513,636,outer_mouth_open,abs_velocity,mean,0.3513655662536621
2,0:2,514,136,outer_brow_L,abs_velocity,late_minus_early,0.34780144691467285
2,0:2,515,562,corner_vertical_L,acceleration,late_minus_early,0.3455026149749756
2,0:2,516,127,outer_brow_L,acceleration,std,0.3432021141052246
2,0:2,517,23,inner_brow_R,acceleration,slope_per_second,0.34274816513061523
2,0:2,518,716,jaw_open,baseline_robust_z,quantile_10,0.33841484785079956
2,0:2,519,224,lid_cheek_gap_R,delta,quantile_10,0.32898008823394775
2,0:2,520,424,nose_upperlip_L,abs_velocity,late_minus_early,0.32768094539642334
2,0:2,521,398,nose_upperlip_L,value,quantile_10,0.3255135715007782
2,0:2,522,549,corner_vertical_L,delta,quantile_90,0.3227297067642212
2,0:2,523,579,inner_lip_aperture,value,quantile_90,0.32036417722702026
2,0:2,524,360,nose_upperlip_R,value,mean,0.31963881850242615
2,0:2,525,543,corner_vertical_L,value,quantile_90,0.31581562757492065
2,0:2,526,542,corner_vertical_L,value,quantile_10,0.30787333846092224
2,0:2,527,180,eye_open_L,value,mean,0.30692729353904724
2,0:2,528,17,inner_brow_R,velocity,slope_per_second,0.30521664023399353
2,0:2,529,368,nose_upperlip_R,delta,quantile_10,0.30468180775642395
2,0:2,530,93,outer_brow_R,acceleration,quantile_90,0.30395030975341797
2,0:2,531,124,outer_brow_L,velocity,late_minus_early,0.3030686378479004
2,0:2,532,686,jaw_open,value,quantile_10,0.2983810603618622
2,0:2,533,709,jaw_open,abs_velocity,std,0.2982880771160126
2,0:2,534,540,corner_vertical_L,value,mean,0.2977384924888611
2,0:2,535,410,nose_upperlip_L,velocity,quantile_10,0.29746145009994507
2,0:2,536,319,alar_extent_R,baseline_robust_z,std,0.2929464280605316
2,0:2,537,471,corner_horizontal_L,value,quantile_90,0.28767964243888855
2,0:2,538,600,inner_lip_aperture,abs_velocity,mean,0.2828948199748993
2,0:2,539,639,outer_mouth_open,abs_velocity,quantile_90,0.2817646861076355
2,0:2,540,535,corner_vertical_R,baseline_robust_z,std,0.2815973162651062
2,0:2,541,22,inner_brow_R,acceleration,late_minus_early,0.27750831842422485
2,0:2,542,300,alar_extent_R,velocity,mean,0.27710360288619995
2,0:2,543,684,jaw_open,value,mean,0.2747170031070709
2,0:2,544,226,lid_cheek_gap_R,delta,late_minus_early,0.2726549506187439
