subject,ma_mau,substance,intensity,roi,band,abs_power,rel_power
P020,S2_12,Sucralose,12,Parietal,alpha,1.5457498341966753e-10,0.06365083069075478
P020,S2_12,Sucralose,12,Parietal,beta,4.0222964357037034e-10,0.19170928482319474
P020,S2_12,Sucralose,12,Parietal,delta,7.242487741959679e-10,0.42848636964715897
P020,S2_12,Sucralose,12,Parietal,gamma,5.015683155452476e-10,0.2123254056060938
P020,S2_12,Sucralose,12,Parietal,theta,2.572208359605604e-10,0.10382810923279778
P020,S2_12,Sucralose,12,Temporal,alpha,1.3452502833277525e-10,0.054608066025312346
P020,S2_12,Sucralose,12,Temporal,beta,3.757475403973411e-10,0.1647562586406352
P020,S2_12,Sucralose,12,Temporal,delta,1.1513204782672398e-09,0.5132866788683228
P020,S2_12,Sucralose,12,Temporal,gamma,3.746418157528062e-10,0.1630911439116775
P020,S2_12,Sucralose,12,Temporal,theta,2.5201235366878436e-10,0.10425785255405196
P020,S2_5,Sucralose,5,Central,alpha,2.0399100962786466e-10,0.056873397320018344
P020,S2_5,Sucralose,5,Central,beta,5.207187296286693e-10,0.15593094811757938
P020,S2_5,Sucralose,5,Central,delta,8.390060235872108e-10,0.41718249056416046
P020,S2_5,Sucralose,5,Central,gamma,8.359154391035537e-10,0.24479662564189997
P020,S2_5,Sucralose,5,Central,theta,4.1906318273746506e-10,0.12521653835634158
P020,S2_5,Sucralose,5,Frontal,alpha,1.2081987037264525e-10,0.05457301573856794
P020,S2_5,Sucralose,5,Frontal,beta,2.4201821839107016e-10,0.12398460894908192
P020,S2_5,Sucralose,5,Frontal,delta,7.953822696662985e-10,0.547684514801604
P020,S2_5,Sucralose,5,Frontal,gamma,3.6402422735061683e-10,0.16575566887708662
P020,S2_5,Sucralose,5,Frontal,theta,2.4717693603835125e-10,0.10800219163365933
P020,S2_5,Sucralose,5,Gustatory,alpha,2.323043601894088e-10,0.06432273818491381
P020,S2_5,Sucralose,5,Gustatory,beta,6.337493484217943e-10,0.18021999515767723
P020,S2_5,Sucralose,5,Gustatory,delta,7.853980665313899e-10,0.3825044047201619
P020,S2_5,Sucralose,5,Gustatory,gamma,8.170771671800256e-10,0.23946136661109602
P020,S2_5,Sucralose,5,Gustatory,theta,4.3177379638262567e-10,0.13349149532615093
P020,S2_5,Sucralose,5,Occipital,alpha,1.9473011900117085e-10,0.053455099536518794
P020,S2_5,Sucralose,5,Occipital,beta,5.578919541927801e-10,0.1492244571587329
