subject_id,epoch_ix,condition,condition_label,repeat,baseline_rms_V,snr_0_1s,poststimulus_rms_V
P002,26,893,High/893,2,3.490259696151669e-05,1.6831985076144576,5.8747999117493795e-05
P002,27,893,High/893,3,3.2931267493237176e-05,2.118300528456467,6.975832133366559e-05
P002,28,893,High/893,4,4.602645331342938e-05,1.8472152836270086,8.502076801171173e-05
P002,29,893,High/893,5,2.7993195989370852e-05,1.7170856847179667,4.806671610285309e-05
P003,0,189,Medium/189,1,4.832910466194471e-05,1.3663046590753265,6.603228086855413e-05
P003,1,189,Medium/189,2,4.7677570810871244e-05,1.3789149739734536,6.574331631379002e-05
P003,2,189,Medium/189,3,4.8580890007120105e-05,1.2827053542237445,6.231496772508777e-05
P003,3,189,Medium/189,4,5.261611014689141e-05,1.111602851778874,5.8488218088795876e-05
P003,4,189,Medium/189,5,5.6486994233400505e-05,1.0428821815134224,5.890927977326484e-05
P003,5,762,MedHigh/762,1,6.716055415817383e-05,0.874917963628322,5.875997528021909e-05
P003,6,762,MedHigh/762,2,4.1837367559980824e-05,1.7867320188903892,7.475216420550384e-05
P003,7,762,MedHigh/762,3,4.8402621481488114e-05,1.1177118808819275,5.4100185095690084e-05
