subject_id,condition,condition_label,P1_mean_amp,P1_peak_amp,P1_peak_lat,N1_mean_amp,N1_peak_amp,N1_peak_lat,P2_mean_amp,P2_peak_amp,P2_peak_lat,N400_mean_amp,N400_peak_amp,N400_peak_lat,jar_group
P009,453,MedLow/453,1.6468269921330963e-06,1.7777693554421606e-05,0.15,-1.1766606870689988e-05,-3.264551251049852e-05,0.2,7.670731286888955e-06,3.5954734570964326e-05,0.31,-5.12954539243898e-07,-1.1605251982397628e-05,0.52,Khong_du
P009,189,Medium/189,1.432995424036473e-06,2.379318418377352e-05,0.1,-8.247235651454526e-06,-3.303480902161482e-05,0.24,-8.194664653515815e-07,2.2807557087389796e-05,0.24,1.8244315035651597e-06,-2.003050326493394e-05,0.39,Vua_phai
P009,762,MedHigh/762,-1.0561020152469575e-05,-5.48801685908984e-06,0.09,-4.623433464862552e-06,-9.910805727031401e-06,0.14,6.079627613403842e-06,1.7640843823585327e-05,0.26,-6.106885662545673e-06,-1.6229893933920417e-05,0.54,Qua_nhieu
P009,893,High/893,7.809670343915189e-06,1.7878428872109e-05,0.14,-2.3925195050173386e-06,-1.7872727960366318e-05,0.19,7.265334813356418e-06,2.2085443293917707e-05,0.25,2.5348690815323806e-06,-1.2376380324733796e-05,0.52,Qua_nhieu
P010,605,Water/605,3.6954559233391498e-06,1.2628653206547823e-05,0.11,-4.8699093238982714e-06,-2.5955297223845265e-05,0.18,-3.6631586829991234e-06,2.213946418692103e-05,0.28,4.249817291995188e-06,-1.3792424912632362e-05,0.48,Khong_du
P010,258,Low/258,2.745933448558954e-07,1.3819392833624988e-05,0.09,7.565544976434973e-06,-8.021040294181603e-06,0.14,-8.57688099687747e-07,8.803338452878506e-06,0.32,-1.7390100064724429e-06,-1.3572558316354844e-05,0.5,Khong_du
P010,453,MedLow/453,1.5444292787135184e-05,2.8652854240363013e-05,0.14,7.496895625019373e-07,-1.250701334356563e-05,0.21,-3.1503425855834595e-06,2.517367123573422e-05,0.29,1.642697765733137e-06,-1.394568662362872e-05,0.39,Khong_du
P010,189,Medium/189,1.2367787524526971e-06,2.694368970423966e-05,0.15,3.875199673654027e-06,-1.227442705840076e-05,0.16,2.3154388327134983e-06,2.0130926552752727e-05,0.35,7.941979000194337e-06,-7.3948846231057046e-06,0.44,Khong_du
P010,762,MedHigh/762,1.3674702247255616e-05,1.938294992100964e-05,0.13,8.767211010184507e-07,-1.9103918998553126e-05,0.24,8.253044141672314e-06,2.384530710344279e-05,0.33,5.125838578338167e-06,-2.5518230155322882e-06,0.39,Vua_phai
P010,893,High/893,-6.022002881422849e-06,1.7102902774013273e-06,0.13,-2.695956713564969e-06,-1.5339092715294098e-05,0.16,1.1030599081935248e-05,2.0738176181112068e-05,0.32,1.0155028268136752e-06,-7.161767958526373e-06,0.45,Qua_nhieu
P011,605,Water/605,2.835608238171972e-06,1.1760338981048334e-05,0.09,1.146566387433267e-06,-1.735568037588564e-05,0.19,-4.5626208862341454e-07,2.0024883141900315e-05,0.25,1.0096658535399932e-06,-1.2478414760153099e-05,0.39,Khong_du
P011,258,Low/258,-1.1235964894242198e-05,-5.009069582229131e-06,0.12,4.045171419043602e-08,-1.8982202142581173e-05,0.16,-3.3988856997961666e-06,1.6563849015938104e-05,0.3,-9.702048424864968e-07,-1.5577327963163985e-05,0.5,Khong_du
P011,453,MedLow/453,-1.0889847277236901e-05,5.331897682481218e-07,0.1,1.3565107378161138e-05,-4.1406095647289466e-06,0.22,-4.075821379901667e-06,6.906050072785773e-06,0.27,-3.5130131389149617e-06,-1.6507033221084083e-05,0.55,Khong_du
P011,189,Medium/189,-1.047931412594088e-05,3.578951140070786e-06,0.09,-9.898957497191738e-06,-2.7228107143173474e-05,0.22,3.8096604143351014e-06,3.0864686027598506e-05,0.33,1.9022510032347853e-06,-1.133945170295192e-05,0.54,Khong_du
