condition,condition_label,component,measure,mean,sem,n_subjects
189,Medium/189,P2,mean_amp,3.0697077673783933e-06,1.7845605965785888e-06,28
189,Medium/189,P2,peak_amp,2.0152917908011765e-05,1.8630814299150347e-06,28
189,Medium/189,P2,peak_lat,0.2903571428571428,0.007619977621812029,28
189,Medium/189,N400,mean_amp,2.366812254299119e-06,1.4277973631726859e-06,28
189,Medium/189,N400,peak_amp,-1.1049177143922825e-05,1.9771854772324585e-06,28
189,Medium/189,N400,peak_lat,0.46142857142857147,0.011714350238562779,28
762,MedHigh/762,P1,mean_amp,-5.639137453671489e-07,1.7098660818586257e-06,28
762,MedHigh/762,P1,peak_amp,1.0484129688670406e-05,2.048260175355029e-06,28
762,MedHigh/762,P1,peak_lat,0.11535714285714285,0.004098074875728217,28
762,MedHigh/762,N1,mean_amp,1.29391007259828e-06,1.9111174104523186e-06,28
762,MedHigh/762,N1,peak_amp,-1.3024341406290114e-05,1.9107362863641266e-06,28
762,MedHigh/762,N1,peak_lat,0.19928571428571432,0.0060406158676469925,28
762,MedHigh/762,P2,mean_amp,5.262424427581068e-07,1.8889557626194535e-06,28
762,MedHigh/762,P2,peak_amp,1.6524974414140155e-05,1.9890603142184887e-06,28
762,MedHigh/762,P2,peak_lat,0.27571428571428575,0.007443412119170384,28
762,MedHigh/762,N400,mean_amp,-1.2837041256855346e-06,1.266350834922134e-06,28
762,MedHigh/762,N400,peak_amp,-1.341112398228285e-05,1.414191896760874e-06,28
762,MedHigh/762,N400,peak_lat,0.44642857142857145,0.013175798377607984,28
893,High/893,P1,mean_amp,4.028721981814985e-06,2.1068659463656074e-06,28
893,High/893,P1,peak_amp,1.565330290209454e-05,2.4488090561732826e-06,28
893,High/893,P1,peak_lat,0.11892857142857141,0.004028315313259197,28
893,High/893,N1,mean_amp,-1.4495603139619188e-06,1.7219098339498515e-06,28
893,High/893,N1,peak_amp,-1.6655550453653367e-05,1.7062952973922972e-06,28
893,High/893,N1,peak_lat,0.2010714285714286,0.006222065312242474,28
893,High/893,P2,mean_amp,5.100211886273552e-06,1.916732495118516e-06,28
893,High/893,P2,peak_amp,2.097099504374745e-05,2.377051019242359e-06,28
893,High/893,P2,peak_lat,0.29035714285714287,0.008042251896743393,28
893,High/893,N400,mean_amp,1.9345551520944683e-06,1.064490989710718e-06,28
893,High/893,N400,peak_amp,-1.065901832365255e-05,1.2048517064721076e-06,28
893,High/893,N400,peak_lat,0.45249999999999996,0.011485267766202739,28
