subject_id,trial_ix,condition,repeat,trigger_sample,offset_rms,offset_woody,offset_final,new_onset,offset_sec
P013,21,893,2,206400,158,199,253,206653,2.53
P013,22,893,3,215100,190,197,263,215363,2.63
P013,23,893,4,223400,118,0,210,223610,2.1
P013,24,893,5,231600,89,0,166,231766,1.66
P013,25,762,1,239900,0,0,96,239996,0.96
P013,26,762,2,250900,24,114,24,250924,0.24
P013,27,762,3,259700,61,112,140,259840,1.4
P013,28,762,4,268200,0,158,46,268246,0.46
P013,29,762,5,277400,80,0,80,277480,0.8
P014,0,453,1,1400,55,0,55,1455,0.55
P014,1,453,2,13200,0,107,31,13231,0.31
P014,2,453,3,21900,0,28,54,21954,0.54
P014,3,453,4,30600,146,186,229,30829,2.29
P014,4,453,5,38800,0,0,20,38820,0.2
P014,5,189,1,50500,54,0,147,50647,1.47
P014,6,189,2,59800,141,57,141,59941,1.41
P014,7,189,3,69700,46,72,137,69837,1.37
P014,8,189,4,80500,130,83,168,80668,1.68
P014,9,189,5,88200,0,66,13,88213,0.13
P014,10,258,1,98300,0,51,67,98367,0.67
P014,11,258,2,106000,0,0,99,106099,0.99
P014,12,258,3,112500,0,0,0,112500,0.0
P014,13,258,4,116400,58,0,58,116458,0.58
P014,14,258,5,123600,0,21,82,123682,0.82
P014,15,762,1,131300,0,0,0,131300,0.0
P014,16,762,2,142600,0,200,0,142600,0.0
P014,17,762,3,153600,0,111,0,153600,0.0
P014,18,762,4,160800,0,199,41,160841,0.41
P014,19,762,5,167400,0,23,45,167445,0.45
P014,20,605,1,174300,57,128,136,174436,1.36
P014,21,605,2,184200,43,20,44,184244,0.44
P014,22,605,3,202800,27,55,63,202863,0.63
P014,23,605,4,232500,0,0,0,232500,0.0
P014,24,605,5,235700,38,16,38,235738,0.38
P014,25,893,1,244400,0,0,0,244400,0.0
P014,26,893,2,253300,0,74,84,253384,0.84
P014,27,893,3,260800,0,199,0,260800,0.0
