iso_contam,sampling,model,K,n_samples,majority,accuracy,balanced_acc,f1_macro,recall_vua_phai,recall_others,oracle_acc,oracle_bacc,oracle_thr
0.1,none,XGB_gpu,10,840,0.7381,0.569,0.4823,0.481,0.3,0.6645,0.7381,0.5054,0.83
0.1,none,XGB_gpu,15,840,0.7381,0.5821,0.4867,0.4862,0.2864,0.6871,0.7381,0.5115,0.83
0.1,none,XGB_gpu,20,840,0.7381,0.5893,0.4857,0.4857,0.2682,0.7032,0.7393,0.5142,0.77
0.1,none,XGB_gpu,25,840,0.7381,0.594,0.4787,0.4788,0.2364,0.721,0.7381,0.5,0.83
0.1,none,XGB_gpu,30,840,0.7381,0.5774,0.46,0.4605,0.2136,0.7065,0.7381,0.5,0.84
0.1,none,XGB_gpu,40,840,0.7381,0.594,0.4787,0.4788,0.2364,0.721,0.7381,0.5,0.84
0.1,none,XGB_gpu,50,840,0.7381,0.5988,0.4775,0.4773,0.2227,0.7323,0.7381,0.5,0.8
0.1,none,LGBM_gpu,5,840,0.7381,0.5286,0.4812,0.4715,0.3818,0.5806,0.7381,0.5051,0.84
0.1,none,LGBM_gpu,10,840,0.7381,0.5607,0.4839,0.4811,0.3227,0.6452,0.7381,0.5021,0.81
0.1,none,LGBM_gpu,15,840,0.7381,0.5929,0.516,0.512,0.3545,0.6774,0.7381,0.5222,0.82
0.1,none,LGBM_gpu,20,840,0.7381,0.575,0.4848,0.4838,0.2955,0.6742,0.7381,0.5169,0.86
0.1,none,LGBM_gpu,25,840,0.7381,0.581,0.4859,0.4854,0.2864,0.6855,0.7381,0.5185,0.83
0.1,none,LGBM_gpu,30,840,0.7381,0.5619,0.4716,0.4711,0.2818,0.6613,0.7381,0.5201,0.82
0.1,none,LGBM_gpu,40,840,0.7381,0.5655,0.4784,0.4773,0.2955,0.6613,0.7381,0.5033,0.84
0.1,none,LGBM_gpu,50,840,0.7381,0.5738,0.4708,0.4712,0.2545,0.6871,0.7393,0.5119,0.77
0.1,none,RF_100,5,840,0.7381,0.7095,0.4953,0.4517,0.0455,0.9452,0.7381,0.51,0.88
0.1,none,RF_100,10,840,0.7381,0.7274,0.4957,0.4295,0.0091,0.9823,0.7381,0.5007,0.68
0.1,none,RF_100,15,840,0.7381,0.7333,0.4982,0.4274,0.0045,0.9919,0.7393,0.5198,0.6
0.1,none,RF_100,20,840,0.7381,0.7345,0.502,0.4363,0.0136,0.9903,0.7381,0.5203,0.62
0.1,none,RF_100,25,840,0.7381,0.7321,0.4974,0.427,0.0045,0.9903,0.7393,0.5143,0.56
0.1,none,RF_100,30,840,0.7381,0.7333,0.4982,0.4274,0.0045,0.9919,0.7381,0.5081,0.63
0.1,none,RF_100,40,840,0.7381,0.7333,0.4968,0.4231,0.0,0.9935,0.7381,0.5101,0.6
0.1,none,RF_100,50,840,0.7381,0.731,0.4952,0.4223,0.0,0.9903,0.7381,0.512,0.57
