window,summary_feature_index,node,source_feature,statistic,raw_icc1,raw_icck,raw_effective_repeats,raw_n_conditions,subject_centered_icc1,subject_centered_icck,subject_centered_effective_repeats,subject_centered_n_conditions
2:4,638,outer_mouth_open,abs_velocity,quantile_10,0.38733724018237115,0.7596787378836053,5.0,140,0.14628160142156818,0.46141935714658755,5.0,140
2:4,639,outer_mouth_open,abs_velocity,quantile_90,0.44034013242970144,0.7973245936026725,5.0,140,0.06653275414701515,0.2627404007774251,5.0,140
2:4,640,outer_mouth_open,abs_velocity,late_minus_early,0.05738236765868724,0.23335092419160716,5.0,140,-0.030463525009539746,-0.17345366533547277,5.0,140
2:4,641,outer_mouth_open,abs_velocity,slope_per_second,0.04803456899900693,0.20146391558007062,5.0,140,-0.021963753887565093,-0.12039617748276576,5.0,140
2:4,642,outer_mouth_open,baseline_robust_z,mean,0.1526673736658925,0.4739252036861263,5.0,140,0.010192547755447928,0.04896637049837699,5.0,140
2:4,643,outer_mouth_open,baseline_robust_z,std,0.08067284720751665,0.30495718006780315,5.0,140,-0.03870298415808521,-0.22896078302308737,5.0,140
2:4,644,outer_mouth_open,baseline_robust_z,quantile_10,0.13000332920835458,0.42763878371534664,5.0,140,-0.007761964861268289,-0.04005339653217004,5.0,140
2:4,645,outer_mouth_open,baseline_robust_z,quantile_90,0.14418479248405022,0.45722461657968555,5.0,140,-0.0009102406626712444,-0.0045678346286335825,5.0,140
2:4,646,outer_mouth_open,baseline_robust_z,late_minus_early,0.054338084185424136,0.22318141817044806,5.0,140,-0.04382591497752741,-0.2657094062812893,5.0,140
2:4,647,outer_mouth_open,baseline_robust_z,slope_per_second,0.055444003332869134,0.22689921363608725,5.0,140,-0.03468373395439434,-0.20135342414776075,5.0,140
2:4,648,lowerlip_chin_gap,value,mean,0.6233298080806594,0.8921741281374677,5.0,140,0.1327817152463303,0.4336078173198585,5.0,140
2:4,649,lowerlip_chin_gap,value,std,0.19271204131998357,0.5441235592592993,5.0,140,0.05750908045767629,0.23376984661755174,5.0,140
2:4,650,lowerlip_chin_gap,value,quantile_10,0.606360367595881,0.8850835327920387,5.0,140,0.12745041488541733,0.4220766816619723,5.0,140
2:4,651,lowerlip_chin_gap,value,quantile_90,0.5613419585767705,0.8648356476618352,5.0,140,0.11112765011915864,0.38465501770111854,5.0,140
2:4,652,lowerlip_chin_gap,value,late_minus_early,0.08403403158648562,0.3144665798996896,5.0,140,0.01634063405331043,0.07669048562281952,5.0,140
2:4,653,lowerlip_chin_gap,value,slope_per_second,0.10860213231907505,0.3785606753672467,5.0,140,0.041394306956934544,0.17756998836567978,5.0,140
2:4,654,lowerlip_chin_gap,delta,mean,0.19097284144699017,0.5413395777967293,5.0,140,0.03816961263216556,0.16556921236212718,5.0,140
2:4,655,lowerlip_chin_gap,delta,std,0.19271204604074493,0.5441235667862556,5.0,140,0.05750908288830163,0.23376985465007794,5.0,140
2:4,656,lowerlip_chin_gap,delta,quantile_10,0.193037914352139,0.5446427610897061,5.0,140,0.04828851822792896,0.20235659134150205,5.0,140
2:4,657,lowerlip_chin_gap,delta,quantile_90,0.17992883948774357,0.5231355254689567,5.0,140,0.026142688242217268,0.11833867668481561,5.0,140
2:4,658,lowerlip_chin_gap,delta,late_minus_early,0.08403403316219273,0.31446658431279284,5.0,140,0.01634063490904143,0.07669048939256844,5.0,140
2:4,659,lowerlip_chin_gap,delta,slope_per_second,0.10860213740372512,0.3785606877234587,5.0,140,0.041394311774352925,0.17757000609541518,5.0,140
2:4,660,lowerlip_chin_gap,velocity,mean,0.05766011140063031,0.2342687159627682,5.0,140,-0.018675005707008408,-0.10091325066323692,5.0,140
2:4,661,lowerlip_chin_gap,velocity,std,0.2691866565268917,0.6480970117944204,5.0,140,0.07250168145340398,0.28101280405215207,5.0,140
2:4,662,lowerlip_chin_gap,velocity,quantile_10,0.15365854838952578,0.47583083834894746,5.0,140,-0.015210178769352128,-0.08097763081054883,5.0,140
2:4,663,lowerlip_chin_gap,velocity,quantile_90,0.23651582222155448,0.6076776217204081,5.0,140,0.06059342064925008,0.24386149472592017,5.0,140
2:4,664,lowerlip_chin_gap,velocity,late_minus_early,0.02229960895665823,0.10236706289306334,5.0,140,-0.04329029715293184,-0.2617819613489532,5.0,140
2:4,665,lowerlip_chin_gap,velocity,slope_per_second,0.03292858427678333,0.14548098931464787,5.0,140,-0.04520862973402157,-0.27594320548825874,5.0,140
2:4,666,lowerlip_chin_gap,acceleration,mean,0.0010579025404736137,0.005267223864338759,5.0,140,-0.05367209492900516,-0.34172482325931075,5.0,140
2:4,667,lowerlip_chin_gap,acceleration,std,0.32473842480194465,0.7062743910715771,5.0,140,0.07126334444769816,0.27727776012779715,5.0,140
2:4,668,lowerlip_chin_gap,acceleration,quantile_10,0.3673249450416315,0.7437836183196429,5.0,140,0.11144245657333812,0.38540870941764277,5.0,140
2:4,669,lowerlip_chin_gap,acceleration,quantile_90,0.31836603071269914,0.7001782599355164,5.0,140,0.04489390707699405,0.1902968576139175,5.0,140
2:4,670,lowerlip_chin_gap,acceleration,late_minus_early,0.02858176776806886,0.12824676214931083,5.0,140,-0.025494413713818522,-0.1419475464706272,5.0,140
2:4,671,lowerlip_chin_gap,acceleration,slope_per_second,0.04702206135186624,0.19788959925169372,5.0,140,-0.012972546627982064,-0.06841267985749666,5.0,140
2:4,672,lowerlip_chin_gap,abs_velocity,mean,0.2978276064980751,0.679565074316681,5.0,140,0.08192329719967267,0.30851742665712417,5.0,140
2:4,673,lowerlip_chin_gap,abs_velocity,std,0.21816115286771318,0.5824948084953513,5.0,140,0.0482475953907749,0.2022128431897294,5.0,140
2:4,674,lowerlip_chin_gap,abs_velocity,quantile_10,0.15766608816294025,0.48344126707174934,5.0,140,0.037443614640196014,0.1628302592800052,5.0,140
2:4,675,lowerlip_chin_gap,abs_velocity,quantile_90,0.20968318888862908,0.5701839711486344,5.0,140,0.015568662291170115,0.07327983541456312,5.0,140
2:4,676,lowerlip_chin_gap,abs_velocity,late_minus_early,0.07144828686053553,0.2778374072169744,5.0,140,-0.007935799163506195,-0.0409798265092623,5.0,140
2:4,677,lowerlip_chin_gap,abs_velocity,slope_per_second,0.05661000468174147,0.2307899441364534,5.0,140,-0.016687703687516393,-0.08940647337960032,5.0,140
2:4,678,lowerlip_chin_gap,baseline_robust_z,mean,0.1739885351344396,0.512951768493194,5.0,140,0.05228301895602418,0.2162006119984458,5.0,140
2:4,679,lowerlip_chin_gap,baseline_robust_z,std,0.08625473858184726,0.3206450671358053,5.0,140,-0.012998000286015263,-0.06855427539483484,5.0,140
2:4,680,lowerlip_chin_gap,baseline_robust_z,quantile_10,0.16906590435227312,0.5042939028098363,5.0,140,0.0644574041676759,0.25622470370146594,5.0,140
2:4,681,lowerlip_chin_gap,baseline_robust_z,quantile_90,0.15683994623206388,0.4818846689116703,5.0,140,0.027979374979990927,0.1258158765466183,5.0,140
2:4,682,lowerlip_chin_gap,baseline_robust_z,late_minus_early,0.017075485597338416,0.07991881751683215,5.0,140,-0.016076057637383324,-0.08590429796869115,5.0,140
2:4,683,lowerlip_chin_gap,baseline_robust_z,slope_per_second,0.04744517607576566,0.1993862226214099,5.0,140,0.005085240870181567,0.024919321345455443,5.0,140
2:4,684,jaw_open,value,mean,0.4622416479024192,0.8112444162450689,5.0,140,0.06524581034636624,0.2587100613433986,5.0,140
2:4,685,jaw_open,value,std,0.32697791338656795,0.7083848137864007,5.0,140,0.029966072338140543,0.13379332041860678,5.0,140
2:4,686,jaw_open,value,quantile_10,0.3954270240456116,0.7658244257558141,5.0,140,0.08323308929229974,0.3122179788217653,5.0,140
2:4,687,jaw_open,value,quantile_90,0.496472968407623,0.8313646130192425,5.0,140,0.031945702750888476,0.14163056237070015,5.0,140
2:4,688,jaw_open,value,late_minus_early,0.10025777428870465,0.3577999606586385,5.0,140,-0.012394227696048048,-0.06520373840178116,5.0,140
2:4,689,jaw_open,value,slope_per_second,0.0986544557859697,0.35369709948053557,5.0,140,-0.0056116962388191366,-0.02870276601035167,5.0,140
2:4,690,jaw_open,delta,mean,0.15417085803867026,0.47681214198253596,5.0,140,-0.057862604445886624,-0.37644028300044186,5.0,140
2:4,691,jaw_open,delta,std,0.326977923798176,0.7083848235598855,5.0,140,0.02996607944554094,0.13379334875535318,5.0,140
2:4,692,jaw_open,delta,quantile_10,0.12300383833825837,0.41220701268867505,5.0,140,-0.053060292786619064,-0.3367800578245574,5.0,140
2:4,693,jaw_open,delta,quantile_90,0.20316199777068072,0.5604011335078051,5.0,140,-0.045327932568499985,-0.2768326739533621,5.0,140
2:4,694,jaw_open,delta,late_minus_early,0.10025775942721686,0.3577999228024608,5.0,140,-0.012394241022716626,-0.0652038121680249,5.0,140
2:4,695,jaw_open,delta,slope_per_second,0.09865444765319599,0.35369707857321975,5.0,140,-0.005611703167802491,-0.02870280226458436,5.0,140
2:4,696,jaw_open,velocity,mean,0.08812990728049977,0.325798995382086,5.0,140,-0.027190850199050688,-0.15254563279460323,5.0,140
2:4,697,jaw_open,velocity,std,0.403699452714288,0.7719515655054645,5.0,140,0.05230564183592126,0.21627797581888397,5.0,140
2:4,698,jaw_open,velocity,quantile_10,0.3422936438061653,0.7223900834190462,5.0,140,0.04807142192787422,0.20159355439443258,5.0,140
2:4,699,jaw_open,velocity,quantile_90,0.35830687677578854,0.7362790280189745,5.0,140,0.02381424923900319,0.1087153485674541,5.0,140
2:4,700,jaw_open,velocity,late_minus_early,0.026496869151490982,0.11978828744428525,5.0,140,-0.02136828395424442,-0.11682698885687426,5.0,140
2:4,701,jaw_open,velocity,slope_per_second,-0.002345616332955319,-0.011839162193616007,5.0,140,-0.03602014112363866,-0.21041782456060082,5.0,140
2:4,702,jaw_open,acceleration,mean,0.05244631848249583,0.21675879022780686,5.0,140,-0.0002671684964084669,-0.0013372715894016552,5.0,140
2:4,703,jaw_open,acceleration,std,0.48551738023293717,0.8251290066034446,5.0,140,0.12891842847151985,0.42528423924758246,5.0,140
2:4,704,jaw_open,acceleration,quantile_10,0.48239279437244276,0.8233163919672798,5.0,140,0.13931824789571684,0.44731478889295073,5.0,140
2:4,705,jaw_open,acceleration,quantile_90,0.43957673690532434,0.7968234595580552,5.0,140,0.11571767905122822,0.39551574096524245,5.0,140
2:4,706,jaw_open,acceleration,late_minus_early,0.012195607750110573,0.058141743175832386,5.0,140,-0.02702427911049097,-0.15149787947026241,5.0,140
2:4,707,jaw_open,acceleration,slope_per_second,-0.02005645553278395,-0.10902923791171858,5.0,140,-0.05635673473032902,-0.3637922460913219,5.0,140
2:4,708,jaw_open,abs_velocity,mean,0.4371729343311425,0.7952382007679466,5.0,140,0.06766556925917797,0.2662610297087736,5.0,140
2:4,709,jaw_open,abs_velocity,std,0.3425677690307172,0.7226341587711281,5.0,140,0.019400686255774863,0.09001780268924144,5.0,140
2:4,710,jaw_open,abs_velocity,quantile_10,0.30169956134196074,0.6835685182713012,5.0,140,0.019531136398590537,0.09057922147493248,5.0,140
2:4,711,jaw_open,abs_velocity,quantile_90,0.37742575043071125,0.751933097604813,5.0,140,0.03245814386409668,0.143641387977265,5.0,140
2:4,712,jaw_open,abs_velocity,late_minus_early,0.005196085558350854,0.025451436426729417,5.0,140,-0.03856286891342586,-0.22798070468542775,5.0,140
2:4,713,jaw_open,abs_velocity,slope_per_second,0.01002060673197083,0.04817217593786744,5.0,140,-0.030333650456823142,-0.17261206893947167,5.0,140
2:4,714,jaw_open,baseline_robust_z,mean,0.04973408596393905,0.20740920157610362,5.0,140,-0.06189255491964669,-0.4112845911894146,5.0,140
2:4,715,jaw_open,baseline_robust_z,std,0.09891823907566523,0.35437470730146525,5.0,140,-0.00837439826034494,-0.04332321471757846,5.0,140
2:4,716,jaw_open,baseline_robust_z,quantile_10,0.06826221147500126,0.26810523294077554,5.0,140,-0.03959193646816411,-0.23520923939170724,5.0,140
2:4,717,jaw_open,baseline_robust_z,quantile_90,0.0475762739422953,0.1998490727772247,5.0,140,-0.06771572223024995,-0.4643552028921013,5.0,140
2:4,718,jaw_open,baseline_robust_z,late_minus_early,0.03748465422567908,0.16298545711353496,5.0,140,-0.05158343079532891,-0.3249692742527431,5.0,140
2:4,719,jaw_open,baseline_robust_z,slope_per_second,0.04859111528573239,0.20341829008891404,5.0,140,-0.03855051888025191,-0.22789438094210773,5.0,140
4:6,0,inner_brow_R,value,mean,0.5983193389489961,0.8816245714884161,5.0,140,0.051835248137455825,0.21466697667567491,5.0,140
4:6,1,inner_brow_R,value,std,0.388134286818574,0.7602911621345839,5.0,140,-0.059380131299301454,-0.3893883918295596,5.0,140
4:6,2,inner_brow_R,value,quantile_10,0.5801753763276944,0.8735735136082293,5.0,140,0.024386980358460607,0.11109756522795529,5.0,140
4:6,3,inner_brow_R,value,quantile_90,0.593563917961138,0.8795479295092414,5.0,140,0.05804800359050485,0.23554771867499816,5.0,140
4:6,4,inner_brow_R,value,late_minus_early,0.008244932740328708,0.03990849236052184,5.0,140,-0.032920610453683066,-0.18956550022140053,5.0,140
4:6,5,inner_brow_R,value,slope_per_second,0.012077626634732984,0.05760519693066935,5.0,140,-0.03638722414604192,-0.21292748058125852,5.0,140
4:6,6,inner_brow_R,delta,mean,0.2923257955372551,0.673778100596484,5.0,140,0.09884447578045354,0.35418532699748717,5.0,140
4:6,7,inner_brow_R,delta,std,0.3881342910495457,0.760291165381462,5.0,140,-0.05938013603017601,-0.3893884325165094,5.0,140
4:6,8,inner_brow_R,delta,quantile_10,0.3003260522602521,0.6821548131030201,5.0,140,0.09179204730240309,0.3357013717363843,5.0,140
4:6,9,inner_brow_R,delta,quantile_90,0.28551689880278996,0.666451655029692,5.0,140,0.10498717465080927,0.3696865061184328,5.0,140
4:6,10,inner_brow_R,delta,late_minus_early,0.00824493276943495,0.0399084924969087,5.0,140,-0.032920611519518084,-0.18956550728950278,5.0,140
4:6,11,inner_brow_R,delta,slope_per_second,0.012077624900873073,0.05760518904199306,5.0,140,-0.036387224792430034,-0.21292748500804878,5.0,140
4:6,12,inner_brow_R,velocity,mean,0.054153308555409105,0.22255761745866284,5.0,140,-0.0026455000933497883,-0.013368970922037909,5.0,140
4:6,13,inner_brow_R,velocity,std,0.43447547010433896,0.7934460201293062,5.0,140,-0.005564755440502483,-0.028457206787685523,5.0,140
4:6,14,inner_brow_R,velocity,quantile_10,0.4015474210065837,0.7703725931149955,5.0,140,0.005311418822985712,0.026004608643592737,5.0,140
4:6,15,inner_brow_R,velocity,quantile_90,0.3705302539677387,0.7463984463257985,5.0,140,0.001718196821707344,0.00853234312915182,5.0,140
4:6,16,inner_brow_R,velocity,late_minus_early,0.010448153371158092,0.05014507319364966,5.0,140,-0.017269793135281007,-0.092756508533718,5.0,140
4:6,17,inner_brow_R,velocity,slope_per_second,0.048229436211016,0.20214904346703494,5.0,140,0.004445837596595833,0.021840785639242622,5.0,140
4:6,18,inner_brow_R,acceleration,mean,-0.005255410400578565,-0.026841300195747965,5.0,140,-0.046223947263309584,-0.28354624256952027,5.0,140
4:6,19,inner_brow_R,acceleration,std,0.42277590808426097,0.7855065538986848,5.0,140,0.05982307626478656,0.2413598310123109,5.0,140
4:6,20,inner_brow_R,acceleration,quantile_10,0.3653245241201814,0.7421379081277046,5.0,140,0.06324949248949605,0.25239263752205815,5.0,140
4:6,21,inner_brow_R,acceleration,quantile_90,0.38733419690034987,0.7596763965909383,5.0,140,0.07649182111525545,0.2928550432518068,5.0,140
