subject_id,n_within_pairs,n_between_pairs,within_condition_distance_median,different_condition_same_subject_distance_median,within_to_between_ratio,distance_separation,pair_auc,window
P010,50,250,1.0045837173865055,1.0532857616962779,0.9537617937307541,0.04623820626924594,0.5884799999999999,4:6
P011,50,250,1.544495495176982,1.502566092444912,1.0279051969446777,-0.027905196944677666,0.50904,4:6
P013,50,250,1.1310344708582376,1.1821794019838183,0.9567367431375016,0.04326325686249843,0.5580799999999999,4:6
P014,50,250,1.0444687052962869,1.152344433900622,0.9063858639563332,0.0936141360436668,0.62192,4:6
P015,50,250,1.1176026466213265,1.1494334678035527,0.9723073826595187,0.027692617340481323,0.5329600000000001,4:6
P016,50,250,1.021093721413648,1.0589744649930146,0.9642288413634067,0.03577115863659332,0.5376,4:6
P017,50,250,1.3303107071834843,1.363486290589279,0.9756685610740855,0.024331438925914488,0.5124,4:6
P018,50,250,1.2853552437209252,1.4104526324903568,0.9113069195747793,0.08869308042522075,0.61488,4:6
P019,50,250,0.9910069551209495,0.98696697866844,1.0040933248424988,-0.004093324842498822,0.48512,4:6
P020,50,250,1.5119898423291755,1.5132770079709248,0.9991494183583248,0.0008505816416752,0.52096,4:6
P021,50,250,1.3523651425215628,1.2802497992303743,1.0563291190004802,-0.056329119000480106,0.45808000000000004,4:6
P023,50,250,1.1794672961308283,1.2289126908572632,0.9597649246408687,0.04023507535913132,0.5434399999999999,4:6
P024,50,250,1.135574388002359,1.185815043832024,0.9576319628503702,0.0423680371496298,0.5124,4:6
P025,50,250,1.157988520444553,1.1665679326464693,0.9926455957155851,0.007354404284414937,0.5009600000000001,4:6
P026,50,250,1.527678383769898,1.655212223152464,0.9229501585363663,0.0770498414636337,0.5795999999999999,4:6
P027,50,250,1.3521094996459313,1.3602371507063755,0.9940248279087044,0.005975172091295627,0.5502400000000001,4:6
P028,50,250,1.034977139905057,1.0916234696370217,0.9481081789577129,0.05189182104228706,0.52976,4:6
P029,50,250,1.4918919155012955,1.4907941646362772,1.0007363530734548,-0.000736353073454722,0.516,4:6
P030,50,250,2.295298376447275,2.382321158846146,0.9634714311814198,0.0365285688185802,0.57128,4:6
P001,50,250,1.2723465734879091,1.3046977331580978,0.9752040960538187,0.024795903946181277,0.54616,6:8
P002,50,250,0.9639131955275693,0.9664032559190066,0.9974233733421466,0.0025766266578534556,0.5148,6:8
P003,50,250,0.9580880206007862,1.0983023429735543,0.8723354063024663,0.1276645936975337,0.5951200000000001,6:8
P004,50,250,1.3608860360244033,1.3717964124182553,0.9920466504394636,0.007953349560536341,0.5033599999999999,6:8
P005,50,250,1.1478301831795528,1.130983060118715,1.0148959994671092,-0.014895999467109101,0.5176000000000001,6:8
P006,50,250,1.0770634483541603,1.172791448125872,0.9183759397933148,0.08162406020668524,0.5644800000000001,6:8
P007,50,250,1.2273289507538054,1.1570407314202118,1.0607482670444266,-0.06074826704442655,0.50448,6:8
P008,50,250,1.9028036152419534,2.0697562837248205,0.9193370399231682,0.08066296007683185,0.5067200000000001,6:8
P009,50,250,1.0660076001079717,1.0834170359039903,0.9839309931272288,0.016069006872771192,0.50584,6:8
P010,50,250,0.9879471968793864,0.9772203351701034,1.0109769120875036,-0.010976912087503513,0.55,6:8
P011,50,250,1.469050084480659,1.4856961579779746,0.9887957753623253,0.011204224637674726,0.5304000000000001,6:8
P013,50,250,0.9823090742440652,1.0656067473993955,0.9218307566476868,0.07816924335231323,0.5972,6:8
P014,50,250,1.0510317118111314,1.0984710290463233,0.9568133196226595,0.043186680377340525,0.56104,6:8
P015,50,250,1.1312245588200072,1.1596727617188316,0.9754687668470721,0.02453123315292788,0.5205599999999999,6:8
P016,50,250,0.9580408895320909,0.9601910755020636,0.9977606686576956,0.002239331342304398,0.5463199999999999,6:8
P017,50,250,1.5101671429122185,1.453719858256624,1.038829547752955,-0.03882954775295501,0.49136,6:8
P018,50,250,1.183385634680767,1.2988524645232624,0.91110088867185,0.08889911132814997,0.62264,6:8
P019,50,250,0.9474429555721158,0.9392227370335033,1.0087521502775536,-0.008752150277553605,0.46624,6:8
P020,50,250,1.442828216136832,1.4759590437570829,0.9775530169618286,0.022446983038171373,0.52,6:8
P021,50,250,1.2853258208247056,1.20756321994924,1.0643962979252832,-0.06439629792528315,0.47576,6:8
P023,50,250,1.132079819435688,1.153346896338158,0.9815605547905906,0.018439445209409423,0.5477599999999999,6:8
P024,50,250,1.2611965888339973,1.2293463271576481,1.025908290424546,-0.02590829042454592,0.47520000000000007,6:8
P025,50,250,1.0042494149013739,1.013007819448694,0.9913540602755794,0.008645939724420577,0.4864800000000001,6:8
P026,50,250,1.4942076278579388,1.6513212246706677,0.9048558242542647,0.0951441757457353,0.59744,6:8
P027,50,250,1.3087597012870735,1.3348790140798885,0.9804331984267364,0.019566801573263647,0.52944,6:8
P028,50,250,0.9799540671031944,0.9858653151610224,0.9940040003772093,0.00599599962279072,0.5172000000000001,6:8
P029,50,250,1.4216656878110085,1.4912962553984845,0.9533086954819248,0.046691304518075266,0.5278400000000001,6:8
P030,50,250,2.393472115686682,2.266342982962024,1.0560943924553312,-0.05609439245533129,0.48768000000000006,6:8
P001,50,250,1.0239262606166997,1.0303117668672954,0.9938023553103629,0.0061976446896371395,0.5287200000000001,8:10
P002,50,250,0.7890329812232295,0.8036872062970234,0.9817662581176164,0.01823374188238357,0.50768,8:10
P003,50,250,1.0662211025335377,1.1446823158873107,0.9314559050447521,0.06854409495524798,0.5194399999999999,8:10
P004,50,250,1.1888336970182425,1.2189353997394485,0.9753049236836994,0.02469507631630059,0.536,8:10
P005,50,250,1.1394568396051616,1.1380078991730662,1.0012732252852974,-0.00127322528529749,0.51424,8:10
P006,50,250,1.0724906798495697,1.0610673958223376,1.0107658420871362,-0.01076584208713621,0.5001599999999999,8:10
P007,50,250,1.0357268282795098,1.0234300229021718,1.012015286929406,-0.012015286929405872,0.49191999999999997,8:10
P008,50,250,1.957095123153608,2.059443581798864,0.9503028587188304,0.049697141281169595,0.50344,8:10
P009,50,250,1.0411565558340812,1.0698436387410073,0.9731857237187622,0.026814276281237788,0.52608,8:10
P010,50,250,0.8523145565366529,0.8259674609181376,1.0318984667861226,-0.03189846678612273,0.51088,8:10
P011,50,250,1.3846399265343465,1.3862121968566488,0.9988657794774368,0.0011342205225631982,0.54088,8:10
P013,50,250,0.9658739134851244,1.004323778055732,0.9617156683823194,0.03828433161768061,0.5456799999999999,8:10
P014,50,250,0.927249418939575,0.9929461489743985,0.9338365629367908,0.0661634370632091,0.5855199999999999,8:10
P015,50,250,1.0110158603485737,1.0649721449221585,0.9493354968664194,0.05066450313358065,0.5432,8:10
P016,50,250,0.8345855315833501,0.8664556229416686,0.9632178607715447,0.0367821392284553,0.54576,8:10
P017,50,250,1.224006662803285,1.3106249102205427,0.9339107270571546,0.06608927294284536,0.5629599999999999,8:10
P018,50,250,0.9926341019566959,1.1097524771058198,0.8944644165565975,0.10553558344340255,0.6327999999999999,8:10
P019,50,250,0.9498200439058817,0.9389109744284472,1.0116188539430753,-0.011618853943075188,0.496,8:10
P020,50,250,1.4228093871942795,1.409911295362886,1.0091481583797608,-0.009148158379760846,0.4956,8:10
P021,50,250,1.1148333610163945,1.1183843129885331,0.9968249268780873,0.0031750731219126324,0.5038400000000001,8:10
P023,50,250,0.9871902912277849,1.017515911746874,0.9701964164206278,0.029803583579372184,0.51208,8:10
P024,50,250,1.394243097532367,1.294113510896091,1.0773731096949468,-0.07737310969494675,0.5167999999999999,8:10
P025,50,250,0.9037714928627569,0.8776656052286924,1.029744685764759,-0.029744685764759044,0.47008,8:10
P026,50,250,1.2690647960893804,1.3731990171762143,0.9241666941322381,0.07583330586776191,0.6035999999999999,8:10
P027,50,250,1.0313561667859863,1.0106343698387208,1.0205037524605187,-0.020503752460518766,0.52128,8:10
P028,50,250,0.8315527877260371,0.8985125458403671,0.9254771027691067,0.07452289723089328,0.56032,8:10
P029,50,250,1.428975641803595,1.4527006906609445,0.9836683158410593,0.016331684158940655,0.5065599999999999,8:10
P030,50,250,1.9115789566879724,1.8719655757522253,1.0211613832267343,-0.021161383226734252,0.47248000000000007,8:10
P001,50,250,1.1961262281822589,1.2477455292918713,0.9586299450506485,0.04137005494935154,0.5623199999999999,0:10
P002,50,250,1.203301820768959,1.2072959803794046,0.9966916483817081,0.003308351618291959,0.5049600000000001,0:10
P003,50,250,1.175888466338263,1.2483049502828467,0.9419881464635902,0.058011853536409766,0.57552,0:10
P004,50,250,1.4097449270226874,1.439406166228748,0.9793934193822629,0.020606580617737163,0.50152,0:10
P005,50,250,1.3016862971637244,1.3031586346264978,0.9988701778711727,0.0011298221288273257,0.51208,0:10
P006,50,250,1.1067797988598498,1.2062963638111261,0.9175023916702629,0.08249760832973713,0.54928,0:10
P007,50,250,1.3636155057266786,1.3348534028186845,1.0215470124638855,-0.021547012463885434,0.52032,0:10
P008,50,250,1.8210407959889734,1.939994556181592,0.9386834567068322,0.06131654329316783,0.5451199999999999,0:10
P009,50,250,1.30131740648166,1.258298652640062,1.0341880313956782,-0.03418803139567821,0.48472,0:10
P010,50,250,1.1763550968846839,1.258305641476086,0.9348723061471232,0.0651276938528767,0.5554399999999999,0:10
P011,50,250,1.4416851976202403,1.4643194499526149,0.9845428179396872,0.015457182060312751,0.54608,0:10
P013,50,250,1.0557581345142175,1.1362532679712716,0.9291574020281812,0.07084259797181877,0.6073600000000001,0:10
P014,50,250,1.061704955094775,1.1612268217888597,0.9142959283865213,0.08570407161347869,0.62568,0:10
P015,50,250,1.1530540828805627,1.333452284957743,0.8647134178611444,0.13528658213885558,0.55184,0:10
P016,50,250,1.0844915994236772,1.156469962516104,0.9377602830809154,0.06223971691908459,0.5751200000000001,0:10
P017,50,250,1.144427737937452,1.2051342867997281,0.949626734939652,0.05037326506034806,0.55008,0:10
P018,50,250,1.1492976927873944,1.425736220052294,0.80610822438476,0.1938917756152399,0.64856,0:10
P019,50,250,1.2895159039889275,1.2708042970564497,1.014724223844552,-0.014724223844552027,0.4881599999999999,0:10
P020,50,250,1.5776390579481,1.6403496218661848,0.9617700012959796,0.03822999870402047,0.54744,0:10
P021,50,250,1.2826438341100257,1.2880585580618054,0.9957962128989482,0.004203787101051852,0.5009600000000001,0:10
P023,50,250,1.1145534864710944,1.1065744891013118,1.007210537969534,-0.007210537969533895,0.5328,0:10
P024,50,250,1.0774803609808772,1.120536068287167,0.9615757952601168,0.03842420473988318,0.5184000000000001,0:10
P025,50,250,1.319036651710638,1.2845776902958659,1.026825128347695,-0.026825128347694936,0.48760000000000003,0:10
P026,50,250,1.4090419774302438,1.6015323698537922,0.879808615768958,0.12019138423104198,0.63896,0:10
P027,50,250,1.3244197114916871,1.372465216702548,0.9649932802477182,0.035006719752281805,0.51808,0:10
P028,50,250,1.0581556429691803,1.2027003929454607,0.879816493929727,0.12018350607027294,0.6017599999999999,0:10
P029,50,250,1.5316235519126655,1.6604070147713066,0.9224386179334596,0.07756138206654038,0.5513600000000001,0:10
P030,50,250,1.766215911203435,1.9416319039080854,0.9096553819745257,0.09034461802547428,0.59424,0:10
