condition,condition_label,component,measure,mean,sem,n_subjects
762,MedHigh/762,N1,peak_amp,-1.2471023584235645e-05,2.6607704551857413e-06,13
762,MedHigh/762,N1,peak_lat,0.20000000000000004,0.008086075400626398,13
762,MedHigh/762,P2,mean_amp,3.1969586039193703e-06,2.232942741126121e-06,13
762,MedHigh/762,P2,peak_amp,2.0516535798538354e-05,2.313728350899187e-06,13
762,MedHigh/762,P2,peak_lat,0.2815384615384615,0.01234369733529324,13
762,MedHigh/762,N400,mean_amp,-1.353894224882066e-07,1.6313617566013165e-06,13
762,MedHigh/762,N400,peak_amp,-1.1993679661296361e-05,1.9000307113499666e-06,13
762,MedHigh/762,N400,peak_lat,0.43615384615384617,0.019920948307235932,13
893,High/893,P1,mean_amp,5.50124706120876e-06,2.386210367856691e-06,18
893,High/893,P1,peak_amp,1.614989161407668e-05,2.9190721491152937e-06,18
893,High/893,P1,peak_lat,0.11944444444444444,0.005743551213091092,18
893,High/893,N1,mean_amp,-1.8677425804370116e-06,2.248122077407024e-06,18
893,High/893,N1,peak_amp,-1.7385567527141544e-05,2.1261947732072186e-06,18
893,High/893,N1,peak_lat,0.20055555555555557,0.007647128651711799,18
893,High/893,P2,mean_amp,7.2842293992683325e-06,2.185399630605014e-06,18
893,High/893,P2,peak_amp,2.5482362775198486e-05,2.47742146051119e-06,18
893,High/893,P2,peak_lat,0.2888888888888889,0.009424238284744283,18
893,High/893,N400,mean_amp,2.1269684442526526e-06,1.461202280314674e-06,18
893,High/893,N400,peak_amp,-1.0581141281478328e-05,1.4595224227095622e-06,18
893,High/893,N400,peak_lat,0.4577777777777778,0.01449713867543775,18
