filter,n_samples,n_subjects,majority_baseline,strategy,K,model,accuracy,balanced_acc,f1
weak,119,28,0.7563025210084033,std+iforest,30,LogReg_C0.1,0.5294117647058824,0.5019157088122606,0.4790494058786742
weak,119,28,0.7563025210084033,std+iforest,30,LogReg_C1,0.5882352941176471,0.5291187739463602,0.5158987131589872
weak,119,28,0.7563025210084033,std+iforest,30,LogReg_C10,0.6218487394957983,0.5747126436781609,0.5554171855541719
weak,119,28,0.7563025210084033,std+iforest,30,SVM_RBF,0.6386554621848739,0.5157088122605364,0.5154814884954076
weak,119,28,0.7563025210084033,std+iforest,30,RForest,0.7647058823529411,0.5289272030651341,0.4945388349514563
weak,119,28,0.7563025210084033,std+iforest,30,GradBoost,0.7058823529411765,0.5601532567049808,0.5632798573975044
weak,119,28,0.7563025210084033,robust,3,LogReg_C0.1,0.47058823529411764,0.48639846743295023,0.4440489432703003
weak,119,28,0.7563025210084033,robust,3,LogReg_C1,0.46218487394957986,0.46915708812260537,0.43299583085169746
weak,119,28,0.7563025210084033,robust,3,LogReg_C10,0.46218487394957986,0.46915708812260537,0.43299583085169746
weak,119,28,0.7563025210084033,robust,3,SVM_RBF,0.4789915966386555,0.4685823754789272,0.44106060606060604
weak,119,28,0.7563025210084033,robust,3,RForest,0.6470588235294118,0.439463601532567,0.41447985004686033
weak,119,28,0.7563025210084033,robust,3,GradBoost,0.5882352941176471,0.4239463601532567,0.42066567312468955
weak,119,28,0.7563025210084033,robust,5,LogReg_C0.1,0.4789915966386555,0.49195402298850577,0.4507147111375819
weak,119,28,0.7563025210084033,robust,5,LogReg_C1,0.47058823529411764,0.48639846743295023,0.4440489432703003
weak,119,28,0.7563025210084033,robust,5,LogReg_C10,0.47058823529411764,0.48639846743295023,0.4440489432703003
weak,119,28,0.7563025210084033,robust,5,SVM_RBF,0.5378151260504201,0.5191570881226054,0.491255343956471
weak,119,28,0.7563025210084033,robust,5,RForest,0.680672268907563,0.4616858237547892,0.42904040404040406
weak,119,28,0.7563025210084033,robust,5,GradBoost,0.6386554621848739,0.4806513409961686,0.4781234064252933
weak,119,28,0.7563025210084033,robust,8,LogReg_C0.1,0.48739495798319327,0.4507662835249042,0.4357559269335406
weak,119,28,0.7563025210084033,robust,8,LogReg_C1,0.4789915966386555,0.4568965517241379,0.4355875152998776
weak,119,28,0.7563025210084033,robust,8,LogReg_C10,0.4789915966386555,0.4568965517241379,0.4355875152998776
weak,119,28,0.7563025210084033,robust,8,SVM_RBF,0.4957983193277311,0.42126436781609194,0.42007797270955166
weak,119,28,0.7563025210084033,robust,8,RForest,0.6974789915966386,0.47279693486590035,0.4363157894736842
weak,119,28,0.7563025210084033,robust,8,GradBoost,0.6638655462184874,0.4739463601532567,0.46105072463768115
weak,119,28,0.7563025210084033,robust,10,LogReg_C0.1,0.4789915966386555,0.4568965517241379,0.4355875152998776
weak,119,28,0.7563025210084033,robust,10,LogReg_C1,0.48739495798319327,0.46245210727969344,0.4418300653594771
weak,119,28,0.7563025210084033,robust,10,LogReg_C10,0.4789915966386555,0.4568965517241379,0.4355875152998776
weak,119,28,0.7563025210084033,robust,10,SVM_RBF,0.5042016806722689,0.4268199233716475,0.42568507157464214
weak,119,28,0.7563025210084033,robust,10,RForest,0.7142857142857143,0.4722222222222222,0.4166666666666667
weak,119,28,0.7563025210084033,robust,10,GradBoost,0.6722689075630253,0.47950191570881223,0.4656303972366148
weak,119,28,0.7563025210084033,robust,15,LogReg_C0.1,0.5294117647058824,0.5136015325670498,0.48484848484848486
weak,119,28,0.7563025210084033,robust,15,LogReg_C1,0.5042016806722689,0.4735632183908046,0.4542557326078508
weak,119,28,0.7563025210084033,robust,15,LogReg_C10,0.5042016806722689,0.4735632183908046,0.4542557326078508
weak,119,28,0.7563025210084033,robust,15,SVM_RBF,0.5714285714285714,0.47126436781609193,0.470280178057083
weak,119,28,0.7563025210084033,robust,15,RForest,0.7394957983193278,0.4888888888888889,0.4251207729468599
weak,119,28,0.7563025210084033,robust,15,GradBoost,0.680672268907563,0.4616858237547892,0.42904040404040406
weak,119,28,0.7563025210084033,robust,20,LogReg_C0.1,0.4957983193277311,0.4796934865900383,0.4537943696450428
weak,119,28,0.7563025210084033,robust,20,LogReg_C1,0.48739495798319327,0.4507662835249042,0.4357559269335406
weak,119,28,0.7563025210084033,robust,20,LogReg_C10,0.4789915966386555,0.44521072796934863,0.4296536796536796
weak,119,28,0.7563025210084033,robust,20,SVM_RBF,0.5630252100840336,0.4657088122605364,0.4647058823529412
weak,119,28,0.7563025210084033,robust,20,RForest,0.7647058823529411,0.5406130268199234,0.5196078431372549
weak,119,28,0.7563025210084033,robust,20,GradBoost,0.7563025210084033,0.5584291187739463,0.555340806597088
weak,119,28,0.7563025210084033,robust,30,LogReg_C0.1,0.5378151260504201,0.49578544061302676,0.47894275933444785
weak,119,28,0.7563025210084033,robust,30,LogReg_C1,0.5546218487394958,0.4952107279693487,0.48408997955010225
weak,119,28,0.7563025210084033,robust,30,LogReg_C10,0.5462184873949579,0.47796934865900387,0.47050098879367175
weak,119,28,0.7563025210084033,robust,30,SVM_RBF,0.5630252100840336,0.4657088122605364,0.4647058823529412
weak,119,28,0.7563025210084033,robust,30,RForest,0.7478991596638656,0.5061302681992337,0.45843446601941745
weak,119,28,0.7563025210084033,robust,30,GradBoost,0.7394957983193278,0.5473180076628352,0.5432710164665098
strict,90,27,0.7888888888888889,standard,3,LogReg_C0.1,0.5444444444444444,0.5570793180133432,0.4993894993894994
strict,90,27,0.7888888888888889,standard,3,LogReg_C1,0.5333333333333333,0.530763528539659,0.4833242208857299
strict,90,27,0.7888888888888889,standard,3,LogReg_C10,0.5333333333333333,0.530763528539659,0.4833242208857299
strict,90,27,0.7888888888888889,standard,3,SVM_RBF,0.5555555555555556,0.4677538917716827,0.4591346153846154
strict,90,27,0.7888888888888889,standard,3,RForest,0.7,0.44366197183098594,0.4117647058823529
strict,90,27,0.7888888888888889,standard,3,GradBoost,0.7,0.4822090437361008,0.4739121021866205
strict,90,27,0.7888888888888889,standard,5,LogReg_C0.1,0.5222222222222223,0.5237212750185323,0.47496947496947495
strict,90,27,0.7888888888888889,standard,5,LogReg_C1,0.5666666666666667,0.5518902891030393,0.5083345006303404
strict,90,27,0.7888888888888889,standard,5,LogReg_C10,0.5777777777777777,0.5782060785767236,0.525
strict,90,27,0.7888888888888889,standard,5,SVM_RBF,0.6444444444444445,0.6011860637509265,0.5673076923076923
strict,90,27,0.7888888888888889,standard,5,RForest,0.7777777777777778,0.5122312824314307,0.48216340621403914
strict,90,27,0.7888888888888889,standard,5,GradBoost,0.7333333333333333,0.5033358042994811,0.49248120300751874
strict,90,27,0.7888888888888889,standard,8,LogReg_C0.1,0.5777777777777777,0.5974796145292809,0.5325314379442319
strict,90,27,0.7888888888888889,standard,8,LogReg_C1,0.5777777777777777,0.5782060785767236,0.525
strict,90,27,0.7888888888888889,standard,8,LogReg_C10,0.5777777777777777,0.5782060785767236,0.525
strict,90,27,0.7888888888888889,standard,8,SVM_RBF,0.5777777777777777,0.48183839881393625,0.47384615384615386
strict,90,27,0.7888888888888889,standard,8,RForest,0.7666666666666667,0.4859154929577465,0.4339622641509434
strict,90,27,0.7888888888888889,standard,8,GradBoost,0.7333333333333333,0.5033358042994811,0.49248120300751874
strict,90,27,0.7888888888888889,standard,10,LogReg_C0.1,0.5888888888888889,0.6045218680504076,0.5412591266014602
strict,90,27,0.7888888888888889,standard,10,LogReg_C1,0.5555555555555556,0.5641215715344701,0.5079278294149809
strict,90,27,0.7888888888888889,standard,10,LogReg_C10,0.5777777777777777,0.5782060785767236,0.525
strict,90,27,0.7888888888888889,standard,10,SVM_RBF,0.5888888888888889,0.488880652335063,0.48122760554603516
strict,90,27,0.7888888888888889,standard,10,RForest,0.7666666666666667,0.4859154929577465,0.4339622641509434
strict,90,27,0.7888888888888889,standard,10,GradBoost,0.7333333333333333,0.5033358042994811,0.49248120300751874
strict,90,27,0.7888888888888889,standard,15,LogReg_C0.1,0.5888888888888889,0.5659747961452928,0.5250320924261874
strict,90,27,0.7888888888888889,standard,15,LogReg_C1,0.6222222222222222,0.6063750926612306,0.559331797235023
strict,90,27,0.7888888888888889,standard,15,LogReg_C10,0.6111111111111112,0.5993328391401038,0.5507060333761232
strict,90,27,0.7888888888888889,standard,15,SVM_RBF,0.6111111111111112,0.44514455151964416,0.4472714511317775
strict,90,27,0.7888888888888889,standard,15,RForest,0.7888888888888889,0.5,0.4409937888198758
strict,90,27,0.7888888888888889,standard,15,GradBoost,0.6666666666666666,0.4225352112676056,0.4
