phase,model,sampling,K,threshold_tuned,accuracy,balanced_acc,f1_macro,recall_vua_phai,recall_others,avg_threshold
1,RF_balanced,borderline,30,False,0.6891,0.5257,0.5246,0.2069,0.8444,0.5
1,RF_w2,borderline,30,False,0.6807,0.4967,0.488,0.1379,0.8556,0.5
1,RF_w3,borderline,30,False,0.6807,0.4851,0.4702,0.1034,0.8667,0.5
1,BalancedRF,borderline,30,False,0.563,0.5592,0.5216,0.5517,0.5667,0.5
1,LogReg_C0.1,borderline,30,False,0.5294,0.4902,0.4728,0.4138,0.5667,0.5
1,LogReg_C1,borderline,30,False,0.605,0.5402,0.5283,0.4138,0.6667,0.5
1,SVM_RBF,borderline,30,False,0.6555,0.4918,0.4884,0.1724,0.8111,0.5
1,GradBoost,borderline,30,False,0.6471,0.5446,0.542,0.3448,0.7444,0.5
2,GradBoost,smote,30,True,0.6471,0.6148,0.5882,0.5517,0.6778,0.328
2,GradBoost,none,30,True,0.5966,0.5464,0.5293,0.4483,0.6444,0.175
2,GradBoost,adasyn,30,True,0.5294,0.537,0.4952,0.5517,0.5222,0.355
2,LogReg_C0.1,smote,20,True,0.5546,0.577,0.5244,0.6207,0.5333,0.461
2,GradBoost,borderline,10,True,0.605,0.587,0.5547,0.5517,0.6222,0.308
2,SVM_RBF,borderline,15,True,0.5966,0.5464,0.5293,0.4483,0.6444,0.329
2,GradBoost,adasyn,20,True,0.5714,0.5297,0.5104,0.4483,0.6111,0.33
2,GradBoost,smote,15,True,0.5714,0.518,0.5036,0.4138,0.6222,0.344
2,LogReg_C1,none,15,True,0.4958,0.5148,0.4684,0.5517,0.4778,0.461
2,LogReg_C0.1,none,15,True,0.5126,0.5142,0.4771,0.5172,0.5111,0.48
2,GradBoost,none,15,True,0.6387,0.6092,0.5814,0.5517,0.6667,0.173
2,SVM_RBF,none,15,True,0.563,0.5008,0.4901,0.3793,0.6222,0.274
2,LogReg_C1,none,20,True,0.5378,0.5308,0.4967,0.5172,0.5444,0.455
2,LogReg_C0.1,none,20,True,0.5294,0.5603,0.5039,0.6207,0.5,0.462
2,GradBoost,none,20,True,0.6807,0.6487,0.6217,0.5862,0.7111,0.208
2,SVM_RBF,none,20,True,0.563,0.5241,0.5042,0.4483,0.6,0.269
2,LogReg_C1,smote,15,True,0.563,0.5358,0.5104,0.4828,0.5889,0.457
2,LogReg_C0.1,smote,15,True,0.5966,0.5697,0.5423,0.5172,0.6222,0.508
2,SVM_RBF,smote,15,True,0.5378,0.4841,0.472,0.3793,0.5889,0.295
2,LogReg_C1,smote,20,True,0.5294,0.5253,0.4902,0.5172,0.5333,0.428
2,GradBoost,smote,20,True,0.5546,0.542,0.5098,0.5172,0.5667,0.295
2,SVM_RBF,smote,20,True,0.6471,0.5563,0.5512,0.3793,0.7333,0.288
3,Stack_RF+SVM+LR,none,15,False,0.6303,0.5686,0.5548,0.4483,0.6889,0.5
3,Stack_RF+SVM+LR,none,20,False,0.6471,0.5797,0.5676,0.4483,0.7111,0.5
3,Stack_RF+SVM+LR,smote,15,False,0.5966,0.558,0.5361,0.4828,0.6333,0.5
3,Stack_RF+SVM+LR,smote,20,False,0.6134,0.5808,0.5554,0.5172,0.6444,0.5
3,Stack_RF+SVM+LR,adasyn,15,False,0.6218,0.5864,0.562,0.5172,0.6556,0.5
3,Stack_RF+SVM+LR,adasyn,20,False,0.6303,0.5686,0.5548,0.4483,0.6889,0.5
