substance,band,channel,n,F,p_anova,slope,t_slope,p_slope,p_anova_fdr,p_slope_fdr
Sucrose,theta,O1,23,,,5.957644934294141e-05,0.08942143129608873,0.9295560792053951,1.0,0.9795107285217206
Sucrose,theta,O2,23,,,8.791762959106428e-05,0.1340822670987316,0.8945565692684557,1.0,0.9795107285217206
Sucrose,theta,F7,23,,,0.00031642752312224505,0.5140683510401389,0.612329471396614,1.0,0.9795107285217206
Sucrose,theta,F8,23,,,0.0004051204506103048,0.4563217261599356,0.6526316062785991,1.0,0.9795107285217206
Sucrose,theta,T7,23,,,-6.370430598027775e-05,-0.1319312321125529,0.8962378470476186,1.0,0.9795107285217206
Sucrose,theta,T8,23,,,0.00017566647514580974,0.34150320485612196,0.7359651557301997,1.0,0.9795107285217206
Sucrose,theta,P7,23,,,0.0007156132613841019,1.5270853483021907,0.14098995044133017,1.0,0.9795107285217206
Sucrose,theta,P8,23,,,-5.8867828806331987e-05,-0.06871379463746184,0.9458381648488097,1.0,0.9795107285217206
Sucrose,alpha,Fp1,23,,,0.00039474719517025055,0.5989034845785157,0.555354666581786,1.0,0.9753346054205474
Sucrose,alpha,Fp2,23,,,0.00023536930025067516,0.3846616041579041,0.7041814919309097,1.0,0.9753346054205474
Sucrose,alpha,F3,23,,,-1.4482804787476349e-05,-0.022980162089266308,0.9818732594028062,1.0,0.9818732594028062
Sucrose,alpha,F4,23,,,0.00020270318760877646,0.344741440509934,0.7335626817667115,1.0,0.9753346054205474
Sucrose,alpha,C3,23,,,-0.0003307537147508118,-0.6382009958353085,0.5299306972765132,1.0,0.9753346054205474
Sucrose,alpha,C4,23,,,-0.00010898890297186771,-0.1476027815917187,0.8840006708733662,1.0,0.9753346054205474
Sucrose,alpha,P3,23,,,0.00042909836722187996,0.8195715853477679,0.4212510356598556,1.0,0.9753346054205474
Sucrose,alpha,P4,23,,,0.0004105248626752745,0.6538651896345009,0.5199754523410139,1.0,0.9753346054205474
Sucrose,alpha,O1,23,,,-0.00029836664105453936,-0.5229839932397036,0.6062131530421057,1.0,0.9753346054205474
Sucrose,alpha,O2,23,,,0.00017361698473620016,0.30898121255208205,0.7602429523575089,1.0,0.9753346054205474
Sucrose,alpha,F7,23,,,-0.00021617526921022655,-0.3165369520193119,0.7545789246050882,1.0,0.9753346054205474
Sucrose,alpha,F8,23,,,-8.190547553593892e-05,-0.10876326236104453,0.9143761925817632,1.0,0.9753346054205474
Sucrose,alpha,T7,23,,,0.0003323719437794108,0.6711747277926895,0.5090955547056312,1.0,0.9753346054205474
Sucrose,alpha,T8,23,,,0.0001803530046644632,0.30951748194520207,0.7598404895154895,1.0,0.9753346054205474
Sucrose,alpha,P7,23,,,-7.269407158508712e-05,-0.13506052547864894,0.8937921164667997,1.0,0.9753346054205474
Sucrose,alpha,P8,23,,,0.00017839417241874938,0.27866359676269165,0.7831055499309986,1.0,0.9753346054205474
Sucrose,beta,Fp1,23,,,0.0008208596430095196,0.47514937301592675,0.6393638802699138,1.0,0.9153218812518432
Sucrose,beta,Fp2,23,,,0.0013492811135325702,0.913993473009019,0.37062924540834363,1.0,0.9153218812518432
Sucrose,beta,F3,23,,,-0.0012047176263861143,-0.8913664124996366,0.3823781153635685,1.0,0.9153218812518432
