fold,experiment,k_features,selection_strategy,C,balanced_accuracy,macro_f1,negative_log_likelihood
2,video_water_delta,32,kbest,1.0,0.5457142857142857,0.5221058011755686,1.178401803337386
2,video_water_delta,64,kbest,0.01,0.46,0.4535947712418301,0.7158951799266436
2,video_water_delta,64,kbest,0.1,0.5352380952380952,0.5285714285714285,0.866415042014341
2,video_water_delta,64,kbest,1.0,0.5,0.4963641260436305,1.4358234993805985
3,video_raw,0,all_after_variance,0.01,0.49047619047619045,0.4905000472634464,0.8825725894499301
3,video_raw,0,all_after_variance,0.1,0.44857142857142857,0.4489082143869931,1.4033541236472689
3,video_raw,0,all_after_variance,1.0,0.4209523809523809,0.4219219219219219,2.1910617331625564
3,video_raw,16,kbest,0.01,0.4114285714285714,0.40819160013884065,0.7367124639461127
3,video_raw,16,kbest,0.1,0.4180952380952381,0.4152505446623094,0.8646682581858807
3,video_raw,16,kbest,1.0,0.4114285714285714,0.40819160013884065,1.060675066648237
3,video_raw,32,kbest,0.01,0.46,0.4535947712418301,0.7540412450033799
3,video_raw,32,kbest,0.1,0.43714285714285717,0.4371128467546459,0.9301606658099666
3,video_raw,32,kbest,1.0,0.4438095238095238,0.4438425424340917,1.2335816354917435
3,video_raw,64,kbest,0.01,0.47333333333333333,0.4679447717878814,0.7538762427515762
3,video_raw,64,kbest,0.1,0.4866666666666667,0.4821920241584511,0.8985716068972756
3,video_raw,64,kbest,1.0,0.4980952380952381,0.497716894977169,1.3601979559880124
3,video_trial_delta,0,all_after_variance,0.01,0.4866666666666667,0.4821920241584511,0.8329782009718157
3,video_trial_delta,0,all_after_variance,0.1,0.4714285714285714,0.47052947052947053,1.2324551511310093
3,video_trial_delta,0,all_after_variance,1.0,0.43714285714285717,0.4371128467546459,1.869429948432013
3,video_trial_delta,16,kbest,0.01,0.4666666666666667,0.4607843137254901,0.7378652731746518
3,video_trial_delta,16,kbest,0.1,0.4257142857142857,0.42010197908564517,0.8713876247733298
3,video_trial_delta,16,kbest,1.0,0.4123809523809524,0.4056094004631615,1.0756360743653266
3,video_trial_delta,32,kbest,0.01,0.45333333333333337,0.4463727872266574,0.7639965883332958
3,video_trial_delta,32,kbest,0.1,0.44666666666666666,0.4391150289516895,0.9164299795578849
3,video_trial_delta,32,kbest,1.0,0.4380952380952381,0.43619653587840224,1.2152211540630393
3,video_trial_delta,64,kbest,0.01,0.4523809523809524,0.44859730894380445,0.7739318086493086
3,video_trial_delta,64,kbest,0.1,0.43142857142857144,0.4292498460997274,0.9358318316046663
3,video_trial_delta,64,kbest,1.0,0.45333333333333337,0.4463727872266574,1.4458329370277534
3,video_water_delta,0,all_after_variance,0.01,0.44095238095238093,0.42840105630803305,0.8575830500662747
3,video_water_delta,0,all_after_variance,0.1,0.4809523809523809,0.4727668845315904,1.2075486902951749
3,video_water_delta,0,all_after_variance,1.0,0.5161904761904762,0.5036445678583824,1.7949041661896306
3,video_water_delta,16,kbest,0.01,0.3657142857142857,0.3531586021505376,0.7613228220762971
3,video_water_delta,16,kbest,0.1,0.35238095238095235,0.3375710940113751,0.9026154103403651
3,video_water_delta,16,kbest,1.0,0.34857142857142853,0.3509198195071156,1.0343217338935877
3,video_water_delta,32,kbest,0.01,0.40285714285714286,0.40403232969180214,0.7638069574003156
3,video_water_delta,32,kbest,0.1,0.38095238095238093,0.384254243409173,0.9260185452832663
3,video_water_delta,32,kbest,1.0,0.4361904761904762,0.4371345029239766,1.3867034043441642
3,video_water_delta,64,kbest,0.01,0.4114285714285714,0.40819160013884065,0.7840401106060555
3,video_water_delta,64,kbest,0.1,0.3952380952380952,0.39761199389532276,0.9747041043160668
3,video_water_delta,64,kbest,1.0,0.44857142857142857,0.4489082143869931,1.6794685644501521
4,video_raw,0,all_after_variance,0.01,0.555959805959806,0.5538124156545209,0.7228476218414729
4,video_raw,0,all_after_variance,0.1,0.5566528066528067,0.5521584224045074,0.9651681505404838
4,video_raw,0,all_after_variance,1.0,0.5566528066528067,0.5521584224045074,1.4159911037297264
4,video_raw,16,kbest,0.01,0.49757449757449757,0.4936399217221136,0.6979296724671502
4,video_raw,16,kbest,0.1,0.4840609840609841,0.48159986886320794,0.7322325611668223
4,video_raw,16,kbest,1.0,0.5032917532917534,0.5016666666666667,0.7803902912430326
4,video_raw,32,kbest,0.01,0.4968814968814969,0.4949871571795509,0.6962849195070986
4,video_raw,32,kbest,0.1,0.5502425502425503,0.5451549110085696,0.7627550675810317
4,video_raw,32,kbest,1.0,0.5323977823977823,0.5181437267768203,0.9275889731747844
4,video_raw,64,kbest,0.01,0.48977823977823975,0.4890602732835946,0.7004631152417214
4,video_raw,64,kbest,0.1,0.5046777546777547,0.4985465116279069,0.7884136612480707
4,video_raw,64,kbest,1.0,0.5246015246015246,0.5171188630490956,1.197099384745023
4,video_trial_delta,0,all_after_variance,0.01,0.5239085239085239,0.5193016965822473,0.7366588845529766
4,video_trial_delta,0,all_after_variance,0.1,0.5296257796257796,0.52762176209238,1.028261224483351
4,video_trial_delta,0,all_after_variance,1.0,0.5296257796257796,0.52762176209238,1.5181962219165537
4,video_trial_delta,16,kbest,0.01,0.4442134442134442,0.44389804114416853,0.6964069443593828
4,video_trial_delta,16,kbest,0.1,0.41146916146916146,0.41217038539553746,0.7393939662326698
4,video_trial_delta,16,kbest,1.0,0.40367290367290365,0.4058333333333333,0.7738416954235274
4,video_trial_delta,32,kbest,0.01,0.476957726957727,0.475930068771232,0.7017959494759102
4,video_trial_delta,32,kbest,0.1,0.47765072765072764,0.4748858447488584,0.7824888759750016
4,video_trial_delta,32,kbest,1.0,0.47765072765072764,0.4748858447488584,0.9418212624253041
4,video_trial_delta,64,kbest,0.01,0.5025987525987526,0.5021645021645021,0.7036865295444397
4,video_trial_delta,64,kbest,0.1,0.5168052668052668,0.5140442455878698,0.8113057580492973
4,video_trial_delta,64,kbest,1.0,0.5431392931392931,0.54,1.2169490043385214
4,video_water_delta,0,all_after_variance,0.01,0.4890852390852391,0.4890635680109364,0.846839587456502
4,video_water_delta,0,all_after_variance,0.1,0.47557172557172556,0.4756989247311828,1.3332247520106526
4,video_water_delta,0,all_after_variance,1.0,0.5019057519057519,0.5019057519057519,2.0989796019915894
4,video_water_delta,16,kbest,0.01,0.5708593208593209,0.5614604462474644,0.682307997834447
4,video_water_delta,16,kbest,0.1,0.5431392931392931,0.54,0.7123900988538281
4,video_water_delta,16,kbest,1.0,0.555959805959806,0.5538124156545209,0.7537270958699346
4,video_water_delta,32,kbest,0.01,0.5509355509355509,0.5427991886409737,0.6841171861733777
4,video_water_delta,32,kbest,0.1,0.5239085239085239,0.5193016965822473,0.7393730902787008
4,video_water_delta,32,kbest,1.0,0.5374220374220374,0.5311480756686235,0.8724823341167044
4,video_water_delta,64,kbest,0.01,0.5154192654192654,0.5152688172043011,0.7034698672944927
4,video_water_delta,64,kbest,0.1,0.49480249480249483,0.4945499296765119,0.8513831119748907
4,video_water_delta,64,kbest,1.0,0.5019057519057519,0.5019057519057519,1.3691206406835195
5,video_raw,0,all_after_variance,0.01,0.5419642857142857,0.5415891575870315,0.7043658363356385
5,video_raw,0,all_after_variance,0.1,0.5401785714285714,0.5406681190994916,0.9957494529790368
5,video_raw,0,all_after_variance,1.0,0.5241071428571429,0.5237198795180722,1.486567292825665
5,video_raw,16,kbest,0.01,0.5017857142857143,0.49363992172211346,0.702187321691582
5,video_raw,16,kbest,0.1,0.49196428571428574,0.4890602732835946,0.7532773651483997
5,video_raw,16,kbest,1.0,0.4982142857142857,0.4956140350877193,0.8405269768626618
5,video_raw,32,kbest,0.01,0.5383928571428571,0.5214468629961587,0.6999515917333614
5,video_raw,32,kbest,0.1,0.53125,0.5283663704716336,0.7387805555582516
5,video_raw,32,kbest,1.0,0.5482142857142858,0.5482142857142858,0.8367523137667766
5,video_raw,64,kbest,0.01,0.4857142857142857,0.48250000000000004,0.6805222169000952
5,video_raw,64,kbest,0.1,0.49107142857142855,0.4900221729490023,0.7019200236169548
5,video_raw,64,kbest,1.0,0.5285714285714286,0.5264705882352941,0.912220762371704
5,video_trial_delta,0,all_after_variance,0.01,0.5464285714285715,0.5472026371211427,0.6799091072355812
5,video_trial_delta,0,all_after_variance,0.1,0.5651785714285714,0.5670180722891566,0.939331827249013
5,video_trial_delta,0,all_after_variance,1.0,0.5589285714285714,0.5603729603729604,1.384025438506006
5,video_trial_delta,16,kbest,0.01,0.46517857142857144,0.4633333333333334,0.6985494846974795
5,video_trial_delta,16,kbest,0.1,0.46339285714285716,0.4631185807656396,0.7492488474705251
5,video_trial_delta,16,kbest,1.0,0.4616071428571428,0.46205821205821196,0.8300734148232214
5,video_trial_delta,32,kbest,0.01,0.5303571428571429,0.5171188630490956,0.7076866855641013
5,video_trial_delta,32,kbest,0.1,0.49196428571428574,0.4890602732835946,0.7707547522841764
5,video_trial_delta,32,kbest,1.0,0.5107142857142857,0.508714969241285,0.9030711928116928
5,video_trial_delta,64,kbest,0.01,0.49196428571428574,0.4890602732835946,0.6921065749830516
5,video_trial_delta,64,kbest,0.1,0.5053571428571428,0.5050819522021793,0.7746130687465026
5,video_trial_delta,64,kbest,1.0,0.5017857142857143,0.49801144630905037,1.2027598996991018
5,video_water_delta,0,all_after_variance,0.01,0.5723214285714285,0.5676691729323309,0.7511125880455656
5,video_water_delta,0,all_after_variance,0.1,0.6276785714285714,0.6193022663610899,0.9775198599624103
5,video_water_delta,0,all_after_variance,1.0,0.6214285714285714,0.6120107962213225,1.4204729388836594
5,video_water_delta,16,kbest,0.01,0.4714285714285714,0.4697795288792019,0.7464168717647467
5,video_water_delta,16,kbest,0.1,0.4982142857142857,0.4956140350877193,0.9222910984918117
5,video_water_delta,16,kbest,1.0,0.525,0.5216874628639334,1.1063701819646339
5,video_water_delta,32,kbest,0.01,0.5044642857142857,0.5021645021645021,0.7615922352980441
5,video_water_delta,32,kbest,0.1,0.5107142857142857,0.508714969241285,0.9352585900454005
5,video_water_delta,32,kbest,1.0,0.5392857142857143,0.5344129554655871,1.2846100488859016
5,video_water_delta,64,kbest,0.01,0.5428571428571428,0.5311480756686237,0.7816730769215592
5,video_water_delta,64,kbest,0.1,0.5330357142857143,0.5276217620923799,0.9803802646691407
5,video_water_delta,64,kbest,1.0,0.5946428571428571,0.5854639953055578,1.696680745353162
